sentence A = Two cars for racing are on a road in front of a grassy parking area.
sentence B = A white car and a yellow car are racing down the track.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Automobile=,Motion+,Entity+,Roadway+,FrontFn=,FloweringPlant+,Region+,SubjectiveAssessmentAttribute+
CONCEPTS B: White=,Automobile=,SubjectiveAssessmentAttribute+,Automobile=,Entity+,Motion+,earlier+,StationaryArtifact+

CONLL A:

1	Two	2	NUM	CD	_	2	num	_	Z|?|?
2	cars	car	NOUN	NNS	_	5	nsubj	_	NNS|02958343-n|Automobile=
3	for	for	ADP	IN	_	2	prep	_	IN|?|?
4	racing	race	NOUN	NN	_	3	pobj	_	VBG|02058994-v|Motion+
5	are	be	VERB	VBP	_	0	ROOT	_	VBP|02604760-v|Entity+
6	on	on	ADP	IN	_	5	prep	_	IN|?|?
7	a	a	DET	DT	_	8	det	_	DT|?|?
8	road	road	NOUN	NN	_	6	pobj	_	NN|04096066-n|Roadway+
9	in	in	ADP	IN	_	8	prep	_	IN|?|?
10	front	front	NOUN	NN	_	9	pobj	_	NN|08573472-n|FrontFn=
11	of	of	ADP	IN	_	10	prep	_	IN|?|?
12	a	a	DET	DT	_	15	det	_	DT|?|?
13	grassy	grassy	ADJ	JJ	_	15	amod	_	JJ|00209620-a|FloweringPlant+
14	parking	parking	NOUN	NN	_	15	nn	_	NN|13778671-n|Region+
15	area	area	NOUN	NN	_	11	pobj	_	NN|14514039-n|SubjectiveAssessmentAttribute+
16	.	.	.	.	_	5	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	_	3	det	_	DT|?|?
2	white	white	ADJ	JJ	_	3	amod	_	JJ|00393105-a|White=
3	car	car	NOUN	NN	_	9	nsubj	_	NN|02958343-n|Automobile=
4	and	and	CONJ	CC	_	3	cc	_	CC|?|?
5	a	a	DET	DT	_	7	det	_	DT|?|?
6	yellow	yellow	ADJ	JJ	_	7	amod	_	JJ|02101942-a|SubjectiveAssessmentAttribute+
7	car	car	NOUN	NN	_	3	conj	_	NN|02958343-n|Automobile=
8	are	be	VERB	VBP	_	9	aux	_	VBP|02604760-v|Entity+
9	racing	race	VERB	VBG	_	0	ROOT	_	VBG|02058994-v|Motion+
10	down	down	PRT	RP	_	9	prt	_	RP|00096089-r|earlier+
11	the	the	DET	DT	_	12	det	_	DT|?|?
12	track	track	NOUN	NN	_	9	dobj	_	NN|04037625-n|StationaryArtifact+
13	.	.	.	.	_	9	punct	_	Fp|?|?
