sentence A = One person who is practicing snowboarding jumps into the air.
sentence B = A person is frying meat in a pan.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Human=,Entity+,Position+,Transportation+,AirTransportation+
CONCEPTS B: Human=,Entity+,Frying=,Meat=,PotOrPan=

CONLL A:

1	One	1	NUM	CD	_	2	num	_	Z|?|?
2	person	person	NOUN	NN	_	7	nsubj	_	NN|00007846-n|Human=
3	who	who	PRON	WP	_	5	nsubj	_	WP|?|?
4	is	be	VERB	VBZ	_	5	aux	_	VBZ|02604760-v|Entity+
5	practicing	practice	VERB	VBG	_	2	rcmod	_	VBG|02568672-v|Position+
6	snowboarding	snowboarding	VERB	VBG	_	5	dobj	_	VBG|?|?
7	jumps	jump	VERB	VBZ	_	0	ROOT	_	NNS|00303849-n|Transportation+
8	into	into	ADP	IN	_	7	prep	_	IN|?|?
9	the	the	DET	DT	_	10	det	_	DT|?|?
10	air	air	NOUN	NN	_	8	pobj	_	NN|00300441-n|AirTransportation+
11	.	.	.	.	_	7	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	_	2	det	_	DT|?|?
2	person	person	NOUN	NN	_	4	nsubj	_	NN|00007846-n|Human=
3	is	be	VERB	VBZ	_	4	aux	_	VBZ|02604760-v|Entity+
4	frying	fry	VERB	VBG	_	0	ROOT	_	VBG|00325328-v|Frying=
5	meat	meat	NOUN	NN	_	4	dobj	_	NN|07649854-n|Meat=
6	in	in	ADP	IN	_	4	prep	_	IN|?|?
7	a	a	DET	DT	_	8	det	_	DT|?|?
8	pan	pan	NOUN	NN	_	6	pobj	_	NN|03880531-n|PotOrPan=
9	.	.	.	.	_	4	punct	_	Fp|?|?
