sentence A = Men in costumes are walking around in the street.
sentence B = People in costumes are walking around in the street.
entailm AB = A_entails_B.
entailm BA = B_neutral_A.

CONCEPTS A: Hominid=,Clothing+,Entity+,Walking=,Roadway=
CONCEPTS B: GroupOfPeople=,Clothing+,Entity+,Walking=,Roadway=

CONLL A:

1	Men	man	PROPN	NNP	Number=Sing|fPOS=PROPN++NNP	5	nsubj	_	02472293-n|Hominid=
2	in	in	ADP	IN	fPOS=ADP++IN	3	case	_	?|?
3	costumes	costume	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	1	nmod	_	03113657-n|Clothing+
4	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	5	aux	_	02604760-v|Entity+
5	walking	walk	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	0	ROOT	_	01904930-v|Walking=
6	around	around	ADV	RB	fPOS=ADP++IN	5	advmod	_	00007015-r|?
7	in	in	ADP	IN	fPOS=ADP++IN	9	case	_	?|?
8	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	9	det	_	?|?
9	street	street	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	04334599-n|Roadway=
10	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?


CONLL B:

1	People	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	nsubj	_	07942152-n|GroupOfPeople=
2	in	in	ADP	IN	fPOS=ADP++IN	3	case	_	?|?
3	costumes	costume	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	1	nmod	_	03113657-n|Clothing+
4	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	5	aux	_	02604760-v|Entity+
5	walking	walk	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01904930-v|Walking=
6	around	around	ADV	RB	fPOS=ADP++IN	5	advmod	_	00007015-r|?
7	in	in	ADP	IN	fPOS=ADP++IN	9	case	_	?|?
8	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	9	det	_	?|?
9	street	street	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	04334599-n|Roadway=
10	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?
