sentence A = Five adults are sitting on a chair.
sentence B = People are sitting against a wall.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: FullyFormed+,PhysicalAttribute+,SittingDown+,Chair=
CONCEPTS B: GroupOfPeople=,PhysicalAttribute+,SittingDown+,Wall=

CONLL A:

1	Five	5	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	2	compound	_	Z|?|?
2	adults	adult	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	NNS|09605289-n|FullyFormed+
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	VBP|02655135-v|PhysicalAttribute+
4	sitting	sit	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01543123-v|SittingDown+
5	on	on	ADP	IN	fPOS=ADP++IN	7	case	_	IN|?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
7	chair	chair	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|03001627-n|Chair=
8	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?


CONLL B:

1	People	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	3	nsubj	_	NNS|07942152-n|GroupOfPeople=
2	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	3	aux	_	VBP|02655135-v|PhysicalAttribute+
3	sitting	sit	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	0	ROOT	_	VBG|01543123-v|SittingDown+
4	against	against	ADP	IN	fPOS=ADP++IN	6	case	_	IN|?|?
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	DT|?|?
6	wall	wall	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	nmod	_	NN|04546855-n|Wall=
7	.	.	PUNCT	.	fPOS=PUNCT++.	3	punct	_	Fp|?|?
