sentence A = Water is being squirted by a man into the mouth of a white dog with a squirt gun.
sentence B = A man is squirting water into the mouth of a white dog with a squirt gun.
entailm AB = A_entails_B.
entailm BA = B_entails_A.

CONCEPTS A: Water=,Entity+,Entity+,Impelling+,Man=,Mouth+,White=,Canine+,Motion+,Gun=
CONCEPTS B: Man=,Entity+,Impelling+,Water=,Mouth+,White=,Canine+,Motion+,Gun=

CONLL A:

1	Water	water	PROPN	NNP	Number=Sing|fPOS=NOUN++NN	4	nsubjpass	_	14845743-n|Water=
2	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
3	being	be	AUX	VBG	VerbForm=Ger|fPOS=AUX++VBG	4	auxpass	_	02604760-v|Entity+
4	squirted	squirt	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass|fPOS=VERB++VBN	0	ROOT	_	01375637-v|Impelling+
5	by	by	ADP	IN	fPOS=ADP++IN	7	case	_	?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	10287213-n|Man=
8	into	into	ADP	IN	fPOS=ADP++IN	10	case	_	?|?
9	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	10	det	_	?|?
10	mouth	mouth	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	05302499-n|Mouth+
11	of	of	ADP	IN	fPOS=ADP++IN	14	case	_	?|?
12	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	14	det	_	?|?
13	white	white	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	14	amod	_	00393105-a|White=
14	dog	dog	NOUN	NN	Number=Sing|fPOS=NOUN++NN	10	nmod	_	02084071-n|Canine+
15	with	with	ADP	IN	fPOS=ADP++IN	18	case	_	?|?
16	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	18	det	_	?|?
17	squirt	squirt	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	18	amod	_	07436100-n|Motion+
18	gun	gun	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	03467984-n|Gun=
19	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	10287213-n|Man=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	4	aux	_	02604760-v|Entity+
4	squirting	squirt	VERB	VBG	Degree=Pos|fPOS=ADJ++JJ	0	ROOT	_	01375637-v|Impelling+
5	water	water	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	14845743-n|Water=
6	into	into	ADP	IN	fPOS=ADP++IN	8	case	_	?|?
7	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	8	det	_	?|?
8	mouth	mouth	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	05302499-n|Mouth+
9	of	of	ADP	IN	fPOS=ADP++IN	12	case	_	?|?
10	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	12	det	_	?|?
11	white	white	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	12	amod	_	00393105-a|White=
12	dog	dog	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nmod	_	02084071-n|Canine+
13	with	with	ADP	IN	fPOS=ADP++IN	16	case	_	?|?
14	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	16	det	_	?|?
15	squirt	squirt	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	16	amod	_	07436100-n|Motion+
16	gun	gun	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	03467984-n|Gun=
17	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
