sentence A = Two kids and a man are playing games at an arcade.
sentence B = A family is purchasing something at the vending machine.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: HumanChild=,Hominid=,Entity+,DramaticActing+,Game=,StationaryArtifact+
CONCEPTS B: FamilyGroup+,Entity+,Buying=,Selling+,Automobile=

CONLL A:

1	Two	2	NUM	CD	_	2	num	_	Z|?|?
2	kids	kid	NOUN	NNS	_	7	nsubj	_	NNS|09917593-n|HumanChild=
3	and	and	CONJ	CC	_	2	cc	_	CC|?|?
4	a	a	DET	DT	_	5	det	_	DT|?|?
5	man	man	NOUN	NN	_	2	conj	_	NN|02472293-n|Hominid=
6	are	be	VERB	VBP	_	7	aux	_	VBP|02604760-v|Entity+
7	playing	play	VERB	VBG	_	0	ROOT	_	VBG|01719302-v|DramaticActing+
8	games	game	NOUN	NNS	_	7	dobj	_	NNS|00455599-n|Game=
9	at	at	ADP	IN	_	7	prep	_	IN|?|?
10	an	a	DET	DT	_	11	det	_	DT|?|?
11	arcade	arcade	NOUN	NN	_	9	pobj	_	NN|02733378-n|StationaryArtifact+
12	.	.	.	.	_	7	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	_	2	det	_	DT|?|?
2	family	family	NOUN	NN	_	4	nsubj	_	NN|08078020-n|FamilyGroup+
3	is	be	VERB	VBZ	_	4	aux	_	VBZ|02604760-v|Entity+
4	purchasing	purchase	VERB	VBG	_	0	ROOT	_	VBG|02207206-v|Buying=
5	something	something	NOUN	NN	_	4	dobj	_	PRP|?|?
6	at	at	ADP	IN	_	4	prep	_	IN|?|?
7	the	the	DET	DT	_	9	det	_	DT|?|?
8	vending	vend	NOUN	NN	_	9	nn	_	VBG|02302817-v|Selling+
9	machine	machine	NOUN	NN	_	6	pobj	_	NN|02958343-n|Automobile=
10	.	.	.	.	_	4	punct	_	Fp|?|?
