sentence A = Someone is not playing piano.
sentence B = A person is playing a keyboard.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Entity+,not=,DramaticActing+,Piano=
CONCEPTS B: Human=,Entity+,DramaticActing+,ComputerInputDevice+

CONLL A:

1	Someone	someone	PROPN	NNP	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	?|?
2	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	4	aux	_	02604760-v|Entity+
3	not	not	PART	RB	fPOS=PART++RB	4	neg	_	00024073-r|not=
4	playing	play	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	0	ROOT	_	01719302-v|DramaticActing+
5	piano	piano	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	03928116-n|Piano=
6	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	person	person	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	00007846-n|Human=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	4	aux	_	02604760-v|Entity+
4	playing	play	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	0	ROOT	_	01719302-v|DramaticActing+
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	?|?
6	keyboard	keyboard	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	03614007-n|ComputerInputDevice+
7	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
