sentence A = Two kids are sitting on colorful balls.
sentence B = The children are wearing black tights and hopping.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: HumanChild=,PhysicalAttribute+,SittingDown+,ColorAttribute+,Ball=
CONCEPTS B: HumanChild=,Entity+,CoveringFn=,Black=,Clothing+,Motion+

CONLL A:

1	Two	2	NUM	CD	Number=Sing|fPOS=NOUN++NN	2	nummod	_	?|?
2	kids	kid	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	09917593-n|HumanChild=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02655135-v|PhysicalAttribute+
4	sitting	sit	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01543123-v|SittingDown+
5	on	on	ADP	IN	fPOS=ADP++IN	7	case	_	?|?
6	colorful	colorful	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	amod	_	00394562-a|ColorAttribute+
7	balls	ball	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nmod	_	02778669-n|Ball=
8	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?


CONLL B:

1	The	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	children	child	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	09917593-n|HumanChild=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02604760-v|Entity+
4	wearing	wear	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	00047745-v|CoveringFn=
5	black	black	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	6	amod	_	00392812-a|Black=
6	tights	tights	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	dobj	_	04434932-n|Clothing+
7	and	and	CONJ	CC	fPOS=CONJ++CC	4	cc	_	?|?
8	hopping	hop	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	conj	_	02095211-v|Motion+
9	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
