sentence A = Two boys on a couch are playing video games.
sentence B = A couple of boys are playing a video game.
entailm AB = A_entails_B.
entailm BA = B_neutral_A.

CONCEPTS A: Human+,Sofa=,Entity+,DramaticActing+,TelevisionBroadcasting+,Game=
CONCEPTS B: Entity+,Human+,Entity+,DramaticActing+,TelevisionBroadcasting+,Game=

CONLL A:

1	Two	2	NUM	CD	NumType=Card|fPOS=NUM++CD	2	nummod	_	Z|?|?
2	boys	boy	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	7	nsubj	_	NNS|10285313-n|Human+
3	on	on	ADP	IN	fPOS=ADP++IN	5	case	_	IN|?|?
4	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	5	det	_	DT|?|?
5	couch	couch	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nmod	_	NN|04256520-n|Sofa=
6	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	7	aux	_	VBP|02604760-v|Entity+
7	playing	play	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	0	ROOT	_	VBG|01719302-v|DramaticActing+
8	video	video	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	compound	_	NN|06277280-n|TelevisionBroadcasting+
9	games	game	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	7	dobj	_	NNS|00455599-n|Game=
10	.	.	PUNCT	.	fPOS=PUNCT++.	7	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	couple	couple	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nsubj	_	NN|13743605-n|Entity+
3	of	of	ADP	IN	fPOS=ADP++IN	4	case	_	IN|?|?
4	boys	boy	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	2	nmod	_	NNS|10285313-n|Human+
5	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBP	6	aux	_	VBP|02604760-v|Entity+
6	playing	play	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	0	ROOT	_	VBG|01719302-v|DramaticActing+
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	DT|?|?
8	video	video	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	compound	_	NN|06277280-n|TelevisionBroadcasting+
9	game	game	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	dobj	_	NN|00455599-n|Game=
10	.	.	PUNCT	.	fPOS=PUNCT++.	6	punct	_	Fp|?|?
