sentence A = Four athletes are with a person in a crowded stadium.
sentence B = A person in a pink jacket is running onto the field.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: ProfessionalAthlete=,Entity+,Human=,SocialInteraction+,StationaryArtifact+
CONCEPTS B: Human=,Pink+,Coat=,Entity+,Attribute+,FieldOfStudy=

CONLL A:

1	Four	4	PRON	PRP$	NumType=Card|fPOS=NUM++CD	2	nummod	_	Z|?|?
2	athletes	athlete	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	6	nsubj	_	NNS|09820263-n|ProfessionalAthlete=
3	are	be	VERB	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBP	6	cop	_	VBP|02604760-v|Entity+
4	with	with	ADP	IN	fPOS=ADP++IN	6	case	_	IN|?|?
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	DT|?|?
6	person	person	NOUN	NN	Number=Sing|fPOS=NOUN++NN	0	ROOT	_	NN|00007846-n|Human=
7	in	in	ADP	IN	fPOS=ADP++IN	10	case	_	IN|?|?
8	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	10	det	_	DT|?|?
9	crowded	crowd	VERB	VBN	Degree=Pos|fPOS=ADJ++JJ	10	amod	_	VBN|02027612-v|SocialInteraction+
10	stadium	stadium	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	NN|04295881-n|StationaryArtifact+
11	.	.	PUNCT	.	fPOS=PUNCT++.	6	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	person	person	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nsubj	_	NN|00007846-n|Human=
3	in	in	ADP	IN	fPOS=ADP++IN	6	case	_	IN|?|?
4	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	DT|?|?
5	pink	pink	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	compound	_	JJ|00379595-a|Pink+
6	jacket	jacket	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nmod	_	NN|03589791-n|Coat=
7	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	8	aux	_	VBZ|02604760-v|Entity+
8	running	run	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01525666-v|Attribute+
9	onto	onto	ADP	IN	fPOS=ADP++IN	11	case	_	IN|?|?
10	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	11	det	_	DT|?|?
11	field	field	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nmod	_	NN|05996646-n|FieldOfStudy=
12	.	.	PUNCT	.	fPOS=PUNCT++.	8	punct	_	Fp|?|?
