sentence A = Dough is being spread by a man.
sentence B = A woman is slicing meat with a knife.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Dough+,Entity+,Entity+,Disseminating+,Hominid=
CONCEPTS B: Woman=,Entity+,Separating+,SubjectiveAssessmentAttribute+,CuttingDevice+

CONLL A:

1	Dough	dough	PROPN	NNP	fPOS=SCONJ++IN	4	nsubjpass	_	NN|07860988-n|Dough+
2	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
3	being	be	AUX	VBG	VerbForm=Ger|fPOS=AUX++VBG	4	auxpass	_	VBG|02604760-v|Entity+
4	spread	spread	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass|fPOS=VERB++VBN	0	ROOT	_	VBN|00968211-v|Disseminating+
5	by	by	ADP	IN	fPOS=ADP++IN	7	case	_	IN|?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
7	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|02472293-n|Hominid=
8	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	NN|10787470-n|Woman=
3	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	5	cop	_	VBZ|02604760-v|Entity+
4	slicing	slice	NOUN	NN	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	5	amod	_	VBG|01254477-v|Separating+
5	meat	meat	NOUN	NN	Number=Sing|fPOS=NOUN++NN	0	ROOT	_	NN|05921123-n|SubjectiveAssessmentAttribute+
6	with	with	ADP	IN	fPOS=ADP++IN	8	case	_	IN|?|?
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	DT|?|?
8	knife	knife	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|03623556-n|CuttingDevice+
9	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	Fp|?|?
