sentence A = There is no karate practitioner kicking at another man who is wearing protective boxing gloves.
sentence B = A karate practitioner is kicking at another man who is wearing protective boxing gloves.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Karate=,Position+,Expressing+,Hominid=,Entity+,RecreationOrExercise+,Device+,ViolentContest+,Glove+
CONCEPTS B: Karate=,Position+,Entity+,Expressing+,Hominid=,Entity+,RecreationOrExercise+,Device+,ViolentContest+,Glove+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	5	neg	_	?|?
4	karate	karate	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	5	amod	_	00826397-n|Karate=
5	practitioner	practitioner	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	10462860-n|Position+
6	kicking	kick	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	5	acl	_	00907147-v|Expressing+
7	at	at	ADP	IN	fPOS=ADP++IN	9	case	_	?|?
8	another	another	DET	DT	fPOS=DET++DT	9	det	_	?|?
9	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	02472293-n|Hominid=
10	who	who	PRON	WP	PronType=Rel|fPOS=PRON++WP	12	nsubj	_	?|?
11	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	12	aux	_	02604760-v|Entity+
12	wearing	wear	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	9	acl:relcl	_	00075021-v|RecreationOrExercise+
13	protective	protective	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	15	amod	_	01887076-a|Device+
14	boxing	box	NOUN	NN	VerbForm=Ger|fPOS=VERB++VBG	15	compound	_	01419982-v|ViolentContest+
15	gloves	glove	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	12	dobj	_	03441112-n|Glove+
16	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	3	det	_	?|?
2	karate	karate	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	3	amod	_	00826397-n|Karate=
3	practitioner	practitioner	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	10462860-n|Position+
4	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	5	aux	_	02604760-v|Entity+
5	kicking	kick	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	00907147-v|Expressing+
6	at	at	ADP	IN	fPOS=ADP++IN	8	case	_	?|?
7	another	another	DET	DT	fPOS=DET++DT	8	det	_	?|?
8	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	02472293-n|Hominid=
9	who	who	PRON	WP	PronType=Rel|fPOS=PRON++WP	11	nsubj	_	?|?
10	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	11	aux	_	02604760-v|Entity+
11	wearing	wear	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	8	acl:relcl	_	00075021-v|RecreationOrExercise+
12	protective	protective	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	14	amod	_	01887076-a|Device+
13	boxing	box	NOUN	NN	VerbForm=Ger|fPOS=VERB++VBG	14	compound	_	01419982-v|ViolentContest+
14	gloves	glove	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	11	dobj	_	03441112-n|Glove+
15	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?
