sentence A = Several people are sitting around a fire at night.
sentence B = People are clustered around a bonfire at night.
entailm AB = A_entails_B.
entailm BA = B_entails_A.

CONCEPTS A: ?,GroupOfPeople=,PhysicalAttribute+,SittingDown+,?,?,Combustion=,?,NightTime+,?
CONCEPTS B: GroupOfPeople=,Entity+,Meeting+,?,?,Fire+,?,NightTime+,?

CONLL A:

1	Several	several	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	2	amod	_	?|?
2	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	07942152-n|GroupOfPeople=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02655135-v|PhysicalAttribute+
4	sitting	sit	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01543123-v|SittingDown+
5	around	around	ADP	IN	fPOS=ADP++IN	7	case	_	?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	fire	fire	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	13480848-n|Combustion=
8	at	at	ADP	IN	fPOS=ADP++IN	9	case	_	?|?
9	night	night	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	15167027-n|NightTime+
10	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
CONLL B:

1	People	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	3	nsubjpass	_	07942152-n|GroupOfPeople=
2	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	3	auxpass	_	02604760-v|Entity+
3	clustered	cluster	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass|fPOS=VERB++VBN	0	ROOT	_	02025009-v|Meeting+
4	around	around	ADP	IN	fPOS=ADP++IN	6	case	_	?|?
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	?|?
6	bonfire	bonfire	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	nmod	_	07303335-n|Fire+
7	at	at	ADP	IN	fPOS=ADP++IN	8	case	_	?|?
8	night	night	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	15167027-n|NightTime+
9	.	.	PUNCT	.	fPOS=PUNCT++.	3	punct	_	?|?
