sentence A = One man is talking to a girl with an internet camera.
sentence B = The teens are talking to a boy and a girl with a webcam.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Man=,Entity+,Speaking+,Human+,Internet+,Camera=
CONCEPTS B: TimeInterval+,Entity+,Speaking+,Human+,Human+,Camera+

CONLL A:

1	One	1	NUM	CD	NumType=Card|fPOS=NUM++CD	2	nummod	_	Z|?|?
2	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|10287213-n|Man=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	talking	talk	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|00941990-v|Speaking+
5	to	to	ADP	IN	fPOS=ADP++IN	7	case	_	TO|?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
7	girl	girl	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|10129825-n|Human+
8	with	with	ADP	IN	fPOS=ADP++IN	11	case	_	IN|?|?
9	an	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	11	det	_	DT|?|?
10	internet	internet	NOUN	NN	Number=Sing|fPOS=NOUN++NN	11	compound	_	NN|03580615-n|Internet+
11	camera	camera	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nmod	_	NN|02942699-n|Camera=
12	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?


CONLL B:

1	The	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	teens	teens	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	NNS|15148467-n|TimeInterval+
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	VBP|02604760-v|Entity+
4	talking	talk	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|00941990-v|Speaking+
5	to	to	ADP	IN	fPOS=ADP++IN	7	case	_	TO|?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
7	boy	boy	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|10285313-n|Human+
8	and	and	CONJ	CC	fPOS=CONJ++CC	4	cc	_	CC|?|?
9	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	10	det	_	DT|?|?
10	girl	girl	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	conj	_	NN|10129825-n|Human+
11	with	with	ADP	IN	fPOS=ADP++IN	13	case	_	IN|?|?
12	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	13	det	_	DT|?|?
13	webcam	webcam	NOUN	NN	Number=Sing|fPOS=NOUN++NN	10	nmod	_	NN|04569063-n|Camera+
14	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
