sentence A = There is no person in bike gear standing steadily in front of the mountains.
sentence B = A group of people is equipped with protective gear.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Entity+,Human=,Bicycle=,Gear=,PhysicalAttribute+,SubjectiveAssessmentAttribute+,FrontFn=,SubjectiveAssessmentAttribute+
CONCEPTS B: Group=,GroupOfPeople=,Entity+,Putting+,Device+,Gear=

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	?|?
4	person	person	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	00007846-n|Human=
5	in	in	ADP	IN	fPOS=ADP++IN	8	mark	_	?|?
6	bike	bike	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	compound	_	02834778-n|Bicycle=
7	gear	gear	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nsubj	_	03430551-n|Gear=
8	standing	stand	NOUN	NN	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	01546111-v|PhysicalAttribute+
9	steadily	steadily	ADV	RB	fPOS=ADV++RB	8	advmod	_	00050186-r|SubjectiveAssessmentAttribute+
10	in	in	ADP	IN	fPOS=ADP++IN	11	case	_	?|?
11	front	front	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	8	nmod	_	08573472-n|FrontFn=
12	of	of	ADP	IN	fPOS=ADP++IN	14	case	_	?|?
13	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	14	det	_	?|?
14	mountains	mountain	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	11	nmod	_	13774404-n|SubjectiveAssessmentAttribute+
15	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	group	group	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nsubj	_	00031264-n|Group=
3	of	of	ADP	IN	fPOS=ADP++IN	4	case	_	?|?
4	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	2	nmod	_	07942152-n|GroupOfPeople=
5	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	6	cop	_	02604760-v|Entity+
6	equipped	equip	ADJ	JJ	Tense=Past|VerbForm=Part|fPOS=VERB++VBN	0	ROOT	_	02339413-v|Putting+
7	with	with	ADP	IN	fPOS=ADP++IN	9	case	_	?|?
8	protective	protective	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	9	amod	_	01887076-a|Device+
9	gear	gear	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	03430551-n|Gear=
10	.	.	PUNCT	.	fPOS=PUNCT++.	6	punct	_	?|?
