sentence A = There is no man doing a card trick.
sentence B = A man is playing with water.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Entity+,Hominid=,IntentionalProcess+,PlayingCard+,RecreationOrExercise+
CONCEPTS B: Hominid=,Entity+,DramaticActing+,Water=

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	?|?
4	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	02472293-n|Hominid=
5	doing	do	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	01712704-v|IntentionalProcess+
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	?|?
7	card	card	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	compound	_	02962545-n|PlayingCard+
8	trick	trick	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	00427580-n|RecreationOrExercise+
9	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	02472293-n|Hominid=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
4	playing	play	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01719302-v|DramaticActing+
5	with	with	ADP	IN	fPOS=ADP++IN	6	case	_	?|?
6	water	water	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	14845743-n|Water=
7	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
