sentence A = One man is wearing a black helmet and pushing a bicycle.
sentence B = A biker wearing black is breaking the gears.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Hominid=,Entity+,CoveringFn=,Black=,Clothing+,Pushing=,Bicycle=
CONCEPTS B: Separating+,Black=,Entity+,Separating+,Gear=

CONLL A:

1	One	1	NUM	CD	NumType=Card|fPOS=NUM++CD	2	nummod	_	?|?
2	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	02472293-n|Hominid=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
4	wearing	wear	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	00047745-v|CoveringFn=
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	?|?
6	black	black	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	amod	_	00392812-a|Black=
7	helmet	helmet	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	03513376-n|Clothing+
8	and	and	CONJ	CC	fPOS=CONJ++CC	4	cc	_	?|?
9	pushing	push	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	conj	_	01871979-v|Pushing=
10	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	11	det	_	?|?
11	bicycle	bicycle	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	dobj	_	02834778-n|Bicycle=
12	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	4	det	_	?|?
2	biker	biker	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	compound	_	?|?
3	wearing	wear	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	compound	_	01369346-v|Separating+
4	black	black	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nsubj	_	00392812-a|Black=
5	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	6	aux	_	02604760-v|Entity+
6	breaking	break	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01369346-v|Separating+
7	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	8	det	_	?|?
8	gears	gear	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	6	dobj	_	03430551-n|Gear=
9	.	.	PUNCT	.	fPOS=PUNCT++.	6	punct	_	?|?
