sentence A = Water is being drunk by a soccer player sitting on the field.
sentence B = A man is sitting on the grass and drinking from a water bottle.
entailm AB = A_entails_B.
entailm BA = B_neutral_A.

CONCEPTS A: Water=,PhysicalAttribute+,PhysicalAttribute+,Drinking+,Soccer=,Human+,SittingDown+,FieldOfStudy=
CONCEPTS B: Hominid=,PhysicalAttribute+,SittingDown+,Grass=,Drinking+,Water=,Bottle=

CONLL A:

1	Water	water	PROPN	NNP	Number=Sing|fPOS=NOUN++NN	4	nsubjpass	_	NN|14845743-n|Water=
2	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02655135-v|PhysicalAttribute+
3	being	be	AUX	VBG	VerbForm=Ger|fPOS=AUX++VBG	4	auxpass	_	VBG|02655135-v|PhysicalAttribute+
4	drunk	drink	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass|fPOS=VERB++VBN	0	ROOT	_	VBN|01171183-v|Drinking+
5	by	by	ADP	IN	fPOS=ADP++IN	8	case	_	IN|?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	DT|?|?
7	soccer	soccer	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	8	compound	_	NN|00478262-n|Soccer=
8	player	player	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|10439851-n|Human+
9	sitting	sit	NOUN	NN	VerbForm=Ger|fPOS=VERB++VBG	8	acl	_	VBG|01543123-v|SittingDown+
10	on	on	ADP	IN	fPOS=ADP++IN	12	case	_	IN|?|?
11	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	12	det	_	DT|?|?
12	field	field	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	NN|05996646-n|FieldOfStudy=
13	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|02472293-n|Hominid=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02655135-v|PhysicalAttribute+
4	sitting	sit	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01543123-v|SittingDown+
5	on	on	ADP	IN	fPOS=ADP++IN	7	case	_	IN|?|?
6	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
7	grass	grass	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|12102133-n|Grass=
8	and	and	CONJ	CC	fPOS=CONJ++CC	4	cc	_	CC|?|?
9	drinking	drink	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	conj	_	VBG|01171183-v|Drinking+
10	from	from	ADP	IN	fPOS=ADP++IN	13	case	_	IN|?|?
11	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	13	det	_	DT|?|?
12	water	water	NOUN	NN	Number=Sing|fPOS=NOUN++NN	13	compound	_	NN|14845743-n|Water=
13	bottle	bottle	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	NN|02876657-n|Bottle=
14	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
