sentence A = Two men are doing a skit, which is very funny, with a boxer in front of a crowd of people.
sentence B = A rabbit is playing with a toy rabbit.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Man=,Entity+,IntentionalProcess+,Pretending+,Entity+,SubjectiveAssessmentAttribute+,SubjectiveStrongPositiveAttribute+,Boxer=,FrontFn=,SubjectiveAssessmentAttribute=,GroupOfPeople=
CONCEPTS B: Rabbit=,Entity+,DramaticActing+,RecreationOrExerciseDevice+,Rabbit=

CONLL A:

1	Two	2	NUM	CD	NumType=Card|fPOS=NUM++CD	2	nummod	_	?|?
2	men	man	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	10287213-n|Man=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02604760-v|Entity+
4	doing	do	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01712704-v|IntentionalProcess+
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	?|?
6	skit	skit	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	00551508-n|Pretending+
7	,	,	PUNCT	,	fPOS=PUNCT++,	6	punct	_	?|?
8	which	which	PRON	WDT	PronType=Rel|fPOS=PRON++WDT	11	nsubj	_	?|?
9	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	11	cop	_	02604760-v|Entity+
10	very	very	ADV	RB	fPOS=ADV++RB	11	advmod	_	00031899-r|SubjectiveAssessmentAttribute+
11	funny	funny	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	6	acl:relcl	_	01265308-a|SubjectiveStrongPositiveAttribute+
12	,	,	PUNCT	,	fPOS=PUNCT++,	11	punct	_	?|?
13	with	with	ADP	IN	fPOS=ADP++IN	15	case	_	?|?
14	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	15	det	_	?|?
15	boxer	boxer	NOUN	NN	Number=Sing|fPOS=NOUN++NN	11	nmod	_	09870208-n|Boxer=
16	in	in	ADP	IN	fPOS=ADP++IN	17	case	_	?|?
17	front	front	NOUN	NN	Number=Sing|fPOS=NOUN++NN	15	nmod	_	08573472-n|FrontFn=
18	of	of	ADP	IN	fPOS=ADP++IN	20	case	_	?|?
19	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	20	det	_	?|?
20	crowd	crowd	NOUN	NN	Number=Sing|fPOS=NOUN++NN	17	nmod	_	08182379-n|SubjectiveAssessmentAttribute=
21	of	of	ADP	IN	fPOS=ADP++IN	22	case	_	?|?
22	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	20	nmod	_	07942152-n|GroupOfPeople=
23	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	rabbit	rabbit	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	02324045-n|Rabbit=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
4	playing	play	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01719302-v|DramaticActing+
5	with	with	ADP	IN	fPOS=ADP++IN	8	case	_	?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	?|?
7	toy	toy	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	compound	_	03964744-n|RecreationOrExerciseDevice+
8	rabbit	rabbit	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	02324045-n|Rabbit=
9	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
