sentence A = There is no man wearing a long sleeved blue shirt and jeans and riding a unicycle down a street.
sentence B = A man is wearing a long sleeved blue shirt and jeans and is riding a unicycle down a street.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Man=,Putting+,SubjectiveAssessmentAttribute+,SubjectiveStrongNegativeAttribute+,Shirt=,Trousers+,Transportation+,AgentPoweredVehicle+,Roadway=
CONCEPTS B: Man=,Entity+,Putting+,SubjectiveAssessmentAttribute+,SubjectiveStrongNegativeAttribute+,Shirt=,Trousers+,Entity+,Transportation+,AgentPoweredVehicle+,Roadway=

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	DT|?|?
4	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	NN|10287213-n|Man=
5	wearing	wear	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	VBG|00052374-v|Putting+
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	10	det	_	DT|?|?
7	long	long	ADJ	JJ	Degree=Pos|fPOS=ADV++RB	8	advmod	_	RB|00166025-r|SubjectiveAssessmentAttribute+
8	sleeved	sleeved	ADJ	JJ	Tense=Past|VerbForm=Part|fPOS=VERB++VBN	10	amod	_	VBN|?|?
9	blue	blue	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	10	amod	_	JJ|00425002-a|SubjectiveStrongNegativeAttribute+
10	shirt	shirt	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	NN|04197391-n|Shirt=
11	and	and	CONJ	CC	fPOS=CONJ++CC	10	cc	_	CC|?|?
12	jeans	jean	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	10	conj	_	NNS|03594734-n|Trousers+
13	and	and	CONJ	CC	fPOS=CONJ++CC	5	cc	_	CC|?|?
14	riding	ride	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	5	conj	_	VBG|02102398-v|Transportation+
15	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	16	det	_	DT|?|?
16	unicycle	unicycle	NOUN	NN	Number=Sing|fPOS=NOUN++NN	14	dobj	_	NN|04509417-n|AgentPoweredVehicle+
17	down	down	ADP	IN	fPOS=ADP++RP	14	compound:prt	_	IN|?|?
18	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	19	det	_	DT|?|?
19	street	street	NOUN	NN	Number=Sing|fPOS=NOUN++NN	14	dobj	_	NN|04334599-n|Roadway=
20	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|10287213-n|Man=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	wearing	wear	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|00052374-v|Putting+
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	DT|?|?
6	long	long	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	advmod	_	RB|00166025-r|SubjectiveAssessmentAttribute+
7	sleeved	sleeved	ADJ	JJ	Tense=Past|VerbForm=Part|fPOS=VERB++VBN	9	amod	_	VBN|?|?
8	blue	blue	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	9	amod	_	JJ|00425002-a|SubjectiveStrongNegativeAttribute+
9	shirt	shirt	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	NN|04197391-n|Shirt=
10	and	and	CONJ	CC	fPOS=CONJ++CC	9	cc	_	CC|?|?
11	jeans	jean	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	9	conj	_	NNS|03594734-n|Trousers+
12	and	and	CONJ	CC	fPOS=CONJ++CC	4	cc	_	CC|?|?
13	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	14	aux	_	VBZ|02604760-v|Entity+
14	riding	ride	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	conj	_	VBG|02102398-v|Transportation+
15	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	16	det	_	DT|?|?
16	unicycle	unicycle	NOUN	NN	Number=Sing|fPOS=NOUN++NN	14	dobj	_	NN|04509417-n|AgentPoweredVehicle+
17	down	down	ADP	RP	fPOS=ADP++RP	16	compound:prt	_	IN|?|?
18	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	19	det	_	DT|?|?
19	street	street	NOUN	NN	Number=Sing|fPOS=NOUN++NN	16	nmod:npmod	_	NN|04334599-n|Roadway=
20	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
