sentence A = Not a lot of people are in an ice skating park.
sentence B = An ice skating rink placed outdoors is full of people.
entailm AB = A_neutral_B.
entailm BA = B_contradicts_A.

CONCEPTS A: not=,?,LandArea+,?,GroupOfPeople=,Entity+,?,?,Solid+,Walking+,ParkingLot=,?
CONCEPTS B: ?,IceSkatingRink=,Walking+,IceSkatingRink+,Putting=,Outdoors+,Attribute+,ContainerFull+,?,GroupOfPeople=,?

CONLL A:

1	Not	not	PART	RB	fPOS=PART++RB	3	neg	_	00024073-r|not=
2	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	3	det	_	?|?
3	lot	lot	NOUN	NN	Number=Sing|fPOS=NOUN++NN	11	nsubj	_	08674970-n|LandArea+
4	of	of	ADP	IN	fPOS=ADP++IN	5	case	_	?|?
5	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	3	nmod	_	07942152-n|GroupOfPeople=
6	are	be	VERB	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBP	11	cop	_	02604760-v|Entity+
7	in	in	ADP	IN	fPOS=ADP++IN	11	case	_	?|?
8	an	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	11	det	_	?|?
9	ice	ice	NOUN	NN	Number=Sing|fPOS=NOUN++NN	10	compound	_	14915184-n|Solid+
10	skating	skate	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	11	amod	_	01936753-v|Walking+
11	park	park	NOUN	NN	Number=Sing|fPOS=NOUN++NN	0	ROOT	_	08615638-n|ParkingLot=
12	.	.	PUNCT	.	fPOS=PUNCT++.	11	punct	_	?|?
CONLL B:

1	An	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	4	det	_	?|?
2	ice	ice	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	compound	_	03558176-n|IceSkatingRink=
3	skating	skate	VERB	VBG	Number=Sing|fPOS=NOUN++NN	4	compound	_	01936753-v|Walking+
4	rink	rink	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nsubj	_	04093625-n|IceSkatingRink+
5	placed	place	VERB	VBN	Tense=Past|VerbForm=Part|fPOS=VERB++VBN	4	acl	_	01494310-v|Putting=
6	outdoors	outdoors	ADV	RB	Number=Plur|fPOS=NOUN++NNS	5	advmod	_	00110659-r|Outdoors+
7	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	8	cop	_	02620587-v|Attribute+
8	full	full	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	0	ROOT	_	01083157-a|ContainerFull+
9	of	of	ADP	IN	fPOS=ADP++IN	10	case	_	?|?
10	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	8	nmod	_	07942152-n|GroupOfPeople=
11	.	.	PUNCT	.	fPOS=PUNCT++.	8	punct	_	?|?
