sentence A = There is no guy leaping into the air in a wooded area.
sentence B = A guy is leaping into the air in a wooded area.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Device+,Ambulating=,AirTransportation+,SubjectiveAssessmentAttribute+
CONCEPTS B: Device+,Entity+,Ambulating=,AirTransportation+,SubjectiveAssessmentAttribute+

CONLL A:

1	There	there	DET	EX	_	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	_	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	_	4	det	_	DT|?|?
4	guy	guy	NOUN	NN	_	2	nsubj	_	NN|03471779-n|Device+
5	leaping	leap	VERB	VBG	_	4	partmod	_	VBG|01963942-v|Ambulating=
6	into	into	ADP	IN	_	5	prep	_	IN|?|?
7	the	the	DET	DT	_	8	det	_	DT|?|?
8	air	air	NOUN	NN	_	6	pobj	_	NN|00300441-n|AirTransportation+
9	in	in	ADP	IN	_	5	prep	_	IN|?|?
10	a	a	DET	DT	_	12	det	_	DT|?|?
11	wooded	wood	VERB	VBN	_	12	amod	_	VBN|?|?
12	area	area	NOUN	NN	_	9	pobj	_	NN|14514039-n|SubjectiveAssessmentAttribute+
13	.	.	.	.	_	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	_	2	det	_	DT|?|?
2	guy	guy	NOUN	NN	_	4	nsubj	_	NN|03471779-n|Device+
3	is	be	VERB	VBZ	_	4	aux	_	VBZ|02604760-v|Entity+
4	leaping	leap	VERB	VBG	_	0	ROOT	_	VBG|01963942-v|Ambulating=
5	into	into	ADP	IN	_	4	prep	_	IN|?|?
6	the	the	DET	DT	_	7	det	_	DT|?|?
7	air	air	NOUN	NN	_	5	pobj	_	NN|00300441-n|AirTransportation+
8	in	in	ADP	IN	_	4	prep	_	IN|?|?
9	a	a	DET	DT	_	11	det	_	DT|?|?
10	wooded	wood	VERB	VBN	_	11	amod	_	VBN|?|?
11	area	area	NOUN	NN	_	8	pobj	_	NN|14514039-n|SubjectiveAssessmentAttribute+
12	.	.	.	.	_	4	punct	_	Fp|?|?
