sentence A = There is no man dressed in black wearing an elaborate black mask.
sentence B = A man dressed in black is wearing an elaborate black mask.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Hominid=,Dressing+,Black=,Dressing+,SubjectiveStrongNegativeAttribute+,Black=,Artifact+
CONCEPTS B: Hominid=,Dressing+,Black=,Entity+,Dressing+,SubjectiveStrongNegativeAttribute+,Black=,Artifact+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	?|?
4	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	02472293-n|Hominid=
5	dressed	dress	VERB	VBN	Tense=Past|VerbForm=Part|fPOS=VERB++VBN	4	acl	_	00046534-v|Dressing+
6	in	in	ADP	IN	fPOS=ADP++IN	7	case	_	?|?
7	black	black	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	00392812-a|Black=
8	wearing	wear	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	5	advcl	_	00050652-v|Dressing+
9	an	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	12	det	_	?|?
10	elaborate	elaborate	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	12	amod	_	01795933-a|SubjectiveStrongNegativeAttribute+
11	black	black	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	12	amod	_	00392812-a|Black=
12	mask	mask	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	dobj	_	03724870-n|Artifact+
13	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nsubj	_	02472293-n|Hominid=
3	dressed	dress	VERB	VBN	Tense=Past|VerbForm=Part|fPOS=VERB++VBN	2	acl	_	00046534-v|Dressing+
4	in	in	ADP	IN	fPOS=ADP++IN	5	case	_	?|?
5	black	black	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	nmod	_	00392812-a|Black=
6	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	7	aux	_	02604760-v|Entity+
7	wearing	wear	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	00050652-v|Dressing+
8	an	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	11	det	_	?|?
9	elaborate	elaborate	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	11	amod	_	01795933-a|SubjectiveStrongNegativeAttribute+
10	black	black	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	11	amod	_	00392812-a|Black=
11	mask	mask	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	dobj	_	03724870-n|Artifact+
12	.	.	PUNCT	.	fPOS=PUNCT++.	7	punct	_	?|?
