sentence A = Water is being squirted by a man into the mouth of a white dog with a squirt gun.
sentence B = A man is spraying a super soaker into the mouth of a dog.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Water=,Entity+,Entity+,Impelling+,Man=,Mouth+,White=,Canine+,Motion+,Gun=
CONCEPTS B: Man=,Entity+,Spraying=,SubjectiveAssessmentAttribute+,Process+,Mouth+,Canine+

CONLL A:

1	Water	water	NOUN	NN	_	4	nsubjpass	_	NN|14845743-n|Water=
2	is	be	VERB	VBZ	_	4	aux	_	VBZ|02604760-v|Entity+
3	being	be	VERB	VBG	_	4	auxpass	_	VBG|02604760-v|Entity+
4	squirted	squirt	VERB	VBN	_	0	ROOT	_	VBN|01375637-v|Impelling+
5	by	by	ADP	IN	_	4	prep	_	IN|?|?
6	a	a	DET	DT	_	7	det	_	DT|?|?
7	man	man	NOUN	NN	_	5	pobj	_	NN|10287213-n|Man=
8	into	into	ADP	IN	_	4	prep	_	IN|?|?
9	the	the	DET	DT	_	10	det	_	DT|?|?
10	mouth	mouth	NOUN	NN	_	8	pobj	_	NN|05302499-n|Mouth+
11	of	of	ADP	IN	_	10	prep	_	IN|?|?
12	a	a	DET	DT	_	14	det	_	DT|?|?
13	white	white	ADJ	JJ	_	14	amod	_	JJ|00393105-a|White=
14	dog	dog	NOUN	NN	_	11	pobj	_	NN|02084071-n|Canine+
15	with	with	ADP	IN	_	14	prep	_	IN|?|?
16	a	a	DET	DT	_	18	det	_	DT|?|?
17	squirt	squirt	NOUN	NN	_	18	nn	_	NN|07436100-n|Motion+
18	gun	gun	NOUN	NN	_	15	pobj	_	NN|03467984-n|Gun=
19	.	.	.	.	_	4	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	_	2	det	_	DT|?|?
2	man	man	NOUN	NN	_	4	nsubj	_	NN|10287213-n|Man=
3	is	be	VERB	VBZ	_	4	aux	_	VBZ|02604760-v|Entity+
4	spraying	spray	VERB	VBG	_	0	ROOT	_	VBG|01372682-v|Spraying=
5	a	a	DET	DT	_	7	det	_	DT|?|?
6	super	super	ADJ	JJ	_	7	amod	_	JJ|00528761-a|SubjectiveAssessmentAttribute+
7	soaker	soaker	NOUN	NN	_	4	dobj	_	NN|11502102-n|Process+
8	into	into	ADP	IN	_	4	prep	_	IN|?|?
9	the	the	DET	DT	_	10	det	_	DT|?|?
10	mouth	mouth	NOUN	NN	_	8	pobj	_	NN|05302499-n|Mouth+
11	of	of	ADP	IN	_	10	prep	_	IN|?|?
12	a	a	DET	DT	_	13	det	_	DT|?|?
13	dog	dog	NOUN	NN	_	11	pobj	_	NN|02084071-n|Canine+
14	.	.	.	.	_	4	punct	_	Fp|?|?
