sentence A = Mud is being thrown to the playing boy.
sentence B = The boy is playing in the mud.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Soil=,Entity+,Entity+,Impelling+,?,?,DramaticActing+,Human+,?
CONCEPTS B: ?,Human+,Entity+,DramaticActing+,?,?,Soil=,?

CONLL A:

1	Mud	mud	PROPN	NNP	Number=Sing|fPOS=PROPN++NNP	4	nsubjpass	_	14956325-n|Soil=
2	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
3	being	be	VERB	VBG	VerbForm=Ger|fPOS=AUX++VBG	4	auxpass	_	02604760-v|Entity+
4	thrown	throw	ADJ	JJ	Tense=Past|VerbForm=Part|Voice=Pass|fPOS=VERB++VBN	0	ROOT	_	01508368-v|Impelling+
5	to	to	ADP	IN	fPOS=ADP++IN	8	case	_	?|?
6	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	8	det	_	?|?
7	playing	play	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	compound	_	01719302-v|DramaticActing+
8	boy	boy	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	10285313-n|Human+
9	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
CONLL B:

1	The	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	boy	boy	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	10285313-n|Human+
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
4	playing	play	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01719302-v|DramaticActing+
5	in	in	ADP	IN	fPOS=ADP++IN	7	case	_	?|?
6	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	mud	mud	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	14956325-n|Soil=
8	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
