sentence A = Children in swimming suits are playing in the water.
sentence B = The boys are wearing bathing suits and water is splashing around.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: HumanChild=,Swimming+,ClothingSuit+,Entity+,DramaticActing+,Water=
CONCEPTS B: Human+,Entity+,RecreationOrExercise+,Bathing+,ClothingSuit+,Water=,Entity+,Wetting+

CONLL A:

1	Children	child	ADJ	JJ	Number=Plur|fPOS=NOUN++NNS	6	nsubj	_	NNS|09917593-n|HumanChild=
2	in	in	ADP	IN	fPOS=SCONJ++IN	4	case	_	IN|?|?
3	swimming	swim	NOUN	NN	VerbForm=Ger|fPOS=VERB++VBG	4	compound	_	VBG|01960911-v|Swimming+
4	suits	suit	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	1	nmod	_	NNS|04350905-n|ClothingSuit+
5	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	6	aux	_	VBP|02604760-v|Entity+
6	playing	play	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01719302-v|DramaticActing+
7	in	in	ADP	IN	fPOS=ADP++IN	9	case	_	IN|?|?
8	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	9	det	_	DT|?|?
9	water	water	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	NN|14845743-n|Water=
10	.	.	PUNCT	.	fPOS=PUNCT++.	6	punct	_	Fp|?|?


CONLL B:

1	The	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	boys	boy	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	NNS|10285313-n|Human+
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	VBP|02604760-v|Entity+
4	wearing	wear	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|00075021-v|RecreationOrExercise+
5	bathing	bathe	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	compound	_	VBG|00035603-v|Bathing+
6	suits	suit	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	dobj	_	NNS|04350905-n|ClothingSuit+
7	and	and	CONJ	CC	fPOS=CONJ++CC	4	cc	_	CC|?|?
8	water	water	NOUN	NN	Number=Sing|fPOS=NOUN++NN	10	nsubj	_	NN|14845743-n|Water=
9	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	10	aux	_	VBZ|02604760-v|Entity+
10	splashing	splash	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	4	conj	_	VBG|01374767-v|Wetting+
11	around	around	ADV	RB	fPOS=ADV++RB	10	advmod	_	RP|00007015-r|?
12	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
