sentence A = Chopped vegetables are being dropped into a pot on the stove by a person.
sentence B = A man is patting an alligator on the mouth.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Cutting+,Vegetable=,Entity+,Entity+,MotionDownward=,SubjectiveAssessmentAttribute+,Stove+,Human=
CONCEPTS B: Hominid=,Entity+,Touching+,Reptile+,Mouth+

CONLL A:

1	Chopped	chop	ADJ	JJ	Tense=Past|VerbForm=Part|fPOS=VERB++VBN	2	amod	_	VBN|01258091-v|Cutting+
2	vegetables	vegetable	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	nsubjpass	_	NNS|07707451-n|Vegetable=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	5	aux	_	VBP|02604760-v|Entity+
4	being	be	AUX	VBG	VerbForm=Ger|fPOS=AUX++VBG	5	auxpass	_	VBG|02604760-v|Entity+
5	dropped	drop	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass|fPOS=VERB++VBN	0	ROOT	_	VBN|01977701-v|MotionDownward=
6	into	into	ADP	IN	fPOS=ADP++IN	8	case	_	IN|?|?
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	DT|?|?
8	pot	pot	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|13774404-n|SubjectiveAssessmentAttribute+
9	on	on	ADP	IN	fPOS=ADP++IN	11	case	_	IN|?|?
10	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	11	det	_	DT|?|?
11	stove	stove	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nmod	_	NN|04330340-n|Stove+
12	by	by	ADP	IN	fPOS=ADP++IN	14	case	_	IN|?|?
13	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	14	det	_	DT|?|?
14	person	person	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|00007846-n|Human=
15	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|02472293-n|Hominid=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	patting	pat	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01243661-v|Touching+
5	an	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	DT|?|?
6	alligator	alligator	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	NN|01698434-n|Reptile+
7	on	on	ADP	IN	fPOS=ADP++IN	9	case	_	IN|?|?
8	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	9	det	_	DT|?|?
9	mouth	mouth	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	NN|05302499-n|Mouth+
10	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
