sentence A = Guitar is being played by two men.
sentence B = Two men are talking.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Guitar=,Entity+,Entity+,DramaticActing+,Hominid=
CONCEPTS B: Hominid=,Entity+,Speaking+

CONLL A:

1	Guitar	guitar	PROPN	NNP	Number=Sing|fPOS=PROPN++NNP	4	nsubjpass	_	03467517-n|Guitar=
2	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
3	being	be	AUX	VBG	VerbForm=Ger|fPOS=AUX++VBG	4	auxpass	_	02604760-v|Entity+
4	played	play	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass|fPOS=VERB++VBN	0	ROOT	_	01719302-v|DramaticActing+
5	by	by	ADP	IN	fPOS=ADP++IN	7	case	_	?|?
6	two	2	NUM	CD	NumType=Card|fPOS=NUM++CD	7	nummod	_	?|?
7	men	man	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nmod	_	02472293-n|Hominid=
8	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?


CONLL B:

1	Two	2	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	compound	_	?|?
2	men	man	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	02472293-n|Hominid=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02604760-v|Entity+
4	talking	talk	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	00941990-v|Speaking+
5	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
