sentence A = There is no monkey practicing martial arts.
sentence B = A monkey is kicking a person.
entailm AB = A_contradicts_B.
entailm BA = B_neutral_A.

CONCEPTS A: Entity+,Human+,Position+,SubjectiveStrongNegativeAttribute+,ArtWork=
CONCEPTS B: Human+,Entity+,Expressing+,Human=

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	7	neg	_	?|?
4	monkey	monkey	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	amod	_	10200047-n|Human+
5	practicing	practice	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	amod	_	02568672-v|Position+
6	martial	martial	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	amod	_	01518860-a|SubjectiveStrongNegativeAttribute+
7	arts	art	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	2	nsubj	_	02743547-n|ArtWork=
8	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	monkey	monkey	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	10200047-n|Human+
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
4	kicking	kick	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	00907147-v|Expressing+
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	?|?
6	person	person	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	00007846-n|Human=
7	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
