sentence A = Two men and a girl in front of a wood panel wall are posing with funny faces.
sentence B = The friends are making faces for the camera.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: ?,Man=,?,?,Human+,?,FrontFn=,?,?,Wood=,EngineeringComponent+,Wall=,Entity+,Putting=,?,SubjectiveStrongPositiveAttribute+,Face+,?
CONCEPTS B: ?,SubjectiveAssessmentAttribute=,Entity+,Process+,DirectionChange+,?,?,Camera=,?

CONLL A:

1	Two	2	NUM	CD	NumType=Card|fPOS=NUM++CD	2	nummod	_	?|?
2	men	man	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	14	nsubj	_	10287213-n|Man=
3	and	and	CONJ	CC	fPOS=CONJ++CC	2	cc	_	?|?
4	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	5	det	_	?|?
5	girl	girl	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	conj	_	10129825-n|Human+
6	in	in	ADP	IN	fPOS=ADP++IN	7	case	_	?|?
7	front	front	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nmod	_	08573472-n|FrontFn=
8	of	of	ADP	IN	fPOS=ADP++IN	12	case	_	?|?
9	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	12	det	_	?|?
10	wood	wood	NOUN	NN	Number=Sing|fPOS=NOUN++NN	11	compound	_	15098161-n|Wood=
11	panel	panel	NOUN	NN	Number=Sing|fPOS=NOUN++NN	12	compound	_	03882058-n|EngineeringComponent+
12	wall	wall	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nmod	_	04546855-n|Wall=
13	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	14	aux	_	02604760-v|Entity+
14	posing	pose	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01494310-v|Putting=
15	with	with	ADP	IN	fPOS=ADP++IN	17	case	_	?|?
16	funny	funny	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	17	amod	_	01265308-a|SubjectiveStrongPositiveAttribute+
17	faces	face	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	14	nmod	_	05600637-n|Face+
18	.	.	PUNCT	.	fPOS=PUNCT++.	14	punct	_	?|?
CONLL B:

1	The	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	friends	friend	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	10112591-n|SubjectiveAssessmentAttribute=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02604760-v|Entity+
4	making	make	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01617192-v|Process+
5	faces	face	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	dobj	_	01908365-v|DirectionChange+
6	for	for	ADP	IN	fPOS=ADP++IN	8	case	_	?|?
7	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	8	det	_	?|?
8	camera	camera	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	02942699-n|Camera=
9	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
