sentence A = Two young girl are looking up at the camera and one is sticking out his tongue.
sentence B = A little boy is sticking his tongue out for the camera and another boy is looking on.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: HumanYouth=,Human+,Entity+,SubjectiveAssessmentAttribute+,Increasing+,Camera=,Entity+,Attaching+,Giving+,Tongue=
CONCEPTS B: SubjectiveStrongNegativeAttribute+,Human+,Entity+,Attaching+,Tongue=,Giving+,Camera=,Human+,Entity+,SubjectiveAssessmentAttribute+

CONLL A:

1	Two	2	NOUN	NN	NumType=Card|fPOS=NUM++CD	3	compound	_	Z|?|?
2	young	young	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	3	amod	_	JJ|01646941-a|HumanYouth=
3	girl	girl	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	NN|10129825-n|Human+
4	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	5	aux	_	VBP|02604760-v|Entity+
5	looking	look	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|02133435-v|SubjectiveAssessmentAttribute+
6	up	up	ADP	IN	fPOS=ADP++RP	5	advmod	_	RP|00097011-r|Increasing+
7	at	at	ADP	IN	fPOS=ADP++IN	9	case	_	IN|?|?
8	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	9	det	_	DT|?|?
9	camera	camera	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|02942699-n|Camera=
10	and	and	CONJ	CC	fPOS=CONJ++CC	5	cc	_	CC|?|?
11	one	one	NUM	CD	Number=Sing|fPOS=NOUN++NN	13	nsubj	_	PRP|?|?
12	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	13	aux	_	VBZ|02604760-v|Entity+
13	sticking	stick	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	5	conj	_	VBG|01614581-v|Attaching+
14	out	out	ADP	IN	fPOS=ADP++IN	16	case	_	RP|00233413-r|Giving+
15	his	his	PRON	PRP$	Gender=Masc|Number=Sing|Person=3|Poss=Yes|PronType=Prs|fPOS=PRON++PRP$	16	nmod:poss	_	PRP$|?|?
16	tongue	tongue	NOUN	NN	Number=Sing|fPOS=NOUN++NN	13	nmod	_	NN|05301072-n|Tongue=
17	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	3	det	_	DT|?|?
2	little	little	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	3	amod	_	JJ|01391351-a|SubjectiveStrongNegativeAttribute+
3	boy	boy	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	NN|10285313-n|Human+
4	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	5	aux	_	VBZ|02604760-v|Entity+
5	sticking	stick	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	0	ROOT	_	VBG|01614581-v|Attaching+
6	his	his	PRON	PRP$	Gender=Masc|Number=Sing|Person=3|Poss=Yes|PronType=Prs|fPOS=PRON++PRP$	7	nmod:poss	_	PRP$|?|?
7	tongue	tongue	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	NN|05301072-n|Tongue=
8	out	out	ADP	RP	fPOS=ADP++RP	5	compound:prt	_	RP|00233413-r|Giving+
9	for	for	ADP	IN	fPOS=ADP++IN	11	case	_	IN|?|?
10	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	11	det	_	DT|?|?
11	camera	camera	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|02942699-n|Camera=
12	and	and	CONJ	CC	fPOS=CONJ++CC	5	cc	_	CC|?|?
13	another	another	DET	DT	fPOS=DET++DT	14	det	_	DT|?|?
14	boy	boy	NOUN	NN	Number=Sing|fPOS=NOUN++NN	16	nsubj	_	NN|10285313-n|Human+
15	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	16	aux	_	VBZ|02604760-v|Entity+
16	looking	look	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	5	conj	_	VBG|02133435-v|SubjectiveAssessmentAttribute+
17	on	on	ADP	IN	fPOS=ADP++RP	16	nmod	_	IN|?|?
18	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	Fp|?|?
