sentence A = Two blokes are sitting around a table and holding beers in their hands.
sentence B = A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four beer bottles.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: ?,?,PhysicalAttribute+,SittingDown+,?,?,ContentBearingObject+,?,Process+,Beer=,?,?,Hand+,?
CONCEPTS B: ?,Man=,?,?,White=,Shirt=,?,Device+,?,?,Man=,?,?,Black=,Shirt=,?,Device+,PhysicalAttribute+,SittingDown+,?,?,ContentBearingObject+,?,?,Beer=,Bottle=,?

CONLL A:

1	Two	2	PROPN	NNP	Number=Sing|fPOS=NOUN++NN	2	compound	_	?|?
2	blokes	blokes	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	?|?
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02655135-v|PhysicalAttribute+
4	sitting	sit	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01543123-v|SittingDown+
5	around	around	ADV	RB	fPOS=ADP++IN	7	case	_	?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	table	table	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	4	nmod	_	08266235-n|ContentBearingObject+
8	and	and	CONJ	CC	fPOS=CONJ++CC	4	cc	_	?|?
9	holding	hold	VERB	VBG	Number=Sing|fPOS=NOUN++NN	4	conj	_	02700867-v|Process+
10	beers	beer	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	9	dobj	_	07886849-n|Beer=
11	in	in	ADP	IN	fPOS=ADP++IN	13	case	_	?|?
12	their	their	PRON	PRP$	Number=Plur|Person=3|Poss=Yes|PronType=Prs|fPOS=PRON++PRP$	13	nmod:poss	_	?|?
13	hands	hand	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	9	nmod	_	05564590-n|Hand+
14	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	19	nsubj	_	10287213-n|Man=
3	in	in	ADP	IN	fPOS=ADP++IN	6	case	_	?|?
4	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	?|?
5	white	white	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	6	amod	_	00393105-a|White=
6	shirt	shirt	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nmod	_	04197391-n|Shirt=
7	and	and	CONJ	CC	fPOS=CONJ++CC	6	cc	_	?|?
8	sunglasses	sunglass	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	6	conj	_	04355933-n|Device+
9	and	and	CONJ	CC	fPOS=CONJ++CC	2	cc	_	?|?
10	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	11	det	_	?|?
11	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	conj	_	10287213-n|Man=
12	in	in	ADP	IN	fPOS=ADP++IN	15	case	_	?|?
13	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	15	det	_	?|?
14	black	black	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	15	amod	_	00392812-a|Black=
15	shirt	shirt	NOUN	NN	Number=Sing|fPOS=NOUN++NN	11	nmod	_	04197391-n|Shirt=
16	and	and	CONJ	CC	fPOS=CONJ++CC	15	cc	_	?|?
17	sunglasses	sunglass	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	15	conj	_	04355933-n|Device+
18	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	19	aux	_	02655135-v|PhysicalAttribute+
19	sitting	sit	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01543123-v|SittingDown+
20	at	at	ADP	IN	fPOS=ADP++IN	22	case	_	?|?
21	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	22	det	_	?|?
22	table	table	NOUN	NN	Number=Sing|fPOS=NOUN++NN	19	nmod	_	08266235-n|ContentBearingObject+
23	with	with	ADP	IN	fPOS=ADP++IN	26	case	_	?|?
24	four	4	NUM	CD	NumType=Card|fPOS=NUM++CD	26	nummod	_	?|?
25	beer	beer	NOUN	NN	Number=Sing|fPOS=NOUN++NN	26	compound	_	07886849-n|Beer=
26	bottles	bottle	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	19	nmod	_	02876657-n|Bottle=
27	.	.	PUNCT	.	fPOS=PUNCT++.	19	punct	_	?|?
