sentence A = A pair of kids are sticking out blue and green colored tongues.
sentence B = Two young boys are wearing hats and sticking their colored tongues out.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Entity+,HumanChild=,Entity+,Attaching+,Giving+,SubjectiveStrongNegativeAttribute+,Green=,SurfaceChange+,Tongue=
CONCEPTS B: HumanYouth=,Human+,Entity+,CoveringFn=,Hat+,Attaching+,SurfaceChange+,Tongue=,Giving+

CONLL A:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	pair	pair	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nsubj	_	13743605-n|Entity+
3	of	of	ADP	IN	fPOS=ADP++IN	4	case	_	?|?
4	kids	kid	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	2	nmod	_	09917593-n|HumanChild=
5	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	6	aux	_	02604760-v|Entity+
6	sticking	stick	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01614581-v|Attaching+
7	out	out	ADP	RP	fPOS=ADP++RP	6	compound:prt	_	00233413-r|Giving+
8	blue	blue	NOUN	NN	Number=Sing|fPOS=NOUN++NN	12	compound	_	00425002-a|SubjectiveStrongNegativeAttribute+
9	and	and	CONJ	CC	fPOS=CONJ++CC	8	cc	_	?|?
10	green	green	ADJ	JJ	Mood=Imp|VerbForm=Fin|fPOS=VERB++VB	8	conj	_	00375969-a|Green=
11	colored	color	VERB	VBN	Degree=Pos|fPOS=ADJ++JJ	12	amod	_	00283911-v|SurfaceChange+
12	tongues	tongue	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	6	dobj	_	05301072-n|Tongue=
13	.	.	PUNCT	.	fPOS=PUNCT++.	6	punct	_	?|?


CONLL B:

1	Two	2	NUM	CD	NumType=Card|fPOS=NUM++CD	3	nummod	_	?|?
2	young	young	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	3	amod	_	01646941-a|HumanYouth=
3	boys	boy	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	nsubj	_	10285313-n|Human+
4	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	5	aux	_	02604760-v|Entity+
5	wearing	wear	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	00047745-v|CoveringFn=
6	hats	hat	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	dobj	_	03497657-n|Hat+
7	and	and	CONJ	CC	fPOS=CONJ++CC	5	cc	_	?|?
8	sticking	stick	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	5	conj	_	01614581-v|Attaching+
9	their	their	PRON	PRP$	Number=Plur|Person=3|Poss=Yes|PronType=Prs|fPOS=PRON++PRP$	11	nmod:poss	_	?|?
10	colored	color	VERB	VBN	Degree=Pos|fPOS=ADJ++JJ	11	amod	_	00283911-v|SurfaceChange+
11	tongues	tongue	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	8	dobj	_	05301072-n|Tongue=
12	out	out	ADP	RP	fPOS=ADV++RB	8	compound:prt	_	00233413-r|Giving+
13	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?
