sentence A = Two dogs are looking at something that is splashing in the water.
sentence B = Two cats are looking at something that is splashing in the water.
entailm AB = A_contradicts_B.
entailm BA = B_neutral_A.

CONCEPTS A: ?,Canine+,Entity+,SubjectiveAssessmentAttribute+,?,?,?,Entity+,Wetting+,?,?,Water=,?
CONCEPTS B: ?,Whip+,Entity+,SubjectiveAssessmentAttribute+,?,?,?,Entity+,Wetting+,?,?,Water=,?

CONLL A:

1	Two	2	NUM	CD	Number=Sing|fPOS=NOUN++NN	2	nummod	_	?|?
2	dogs	dog	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	02084071-n|Canine+
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02604760-v|Entity+
4	looking	look	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	02133435-v|SubjectiveAssessmentAttribute+
5	at	at	ADP	IN	fPOS=ADP++IN	6	case	_	?|?
6	something	something	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	?|?
7	that	that	PRON	WDT	PronType=Rel|fPOS=PRON++WDT	9	nsubj	_	?|?
8	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	9	cop	_	02604760-v|Entity+
9	splashing	splash	NOUN	NN	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	6	acl:relcl	_	01374767-v|Wetting+
10	in	in	ADP	IN	fPOS=ADP++IN	12	case	_	?|?
11	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	12	det	_	?|?
12	water	water	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	14845743-n|Water=
13	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
CONLL B:

1	Two	2	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	compound	_	?|?
2	cats	cat	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	02985606-n|Whip+
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02604760-v|Entity+
4	looking	look	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	02133435-v|SubjectiveAssessmentAttribute+
5	at	at	ADP	IN	fPOS=ADP++IN	6	case	_	?|?
6	something	something	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	?|?
7	that	that	PRON	WDT	PronType=Rel|fPOS=PRON++WDT	9	nsubj	_	?|?
8	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	9	cop	_	02604760-v|Entity+
9	splashing	splash	NOUN	NN	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	6	acl:relcl	_	01374767-v|Wetting+
10	in	in	ADP	IN	fPOS=ADP++IN	12	case	_	?|?
11	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	12	det	_	?|?
12	water	water	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	14845743-n|Water=
13	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
