sentence A = Two baby pandas are playing.
sentence B = Two cubs are playing.
entailm AB = A_entails_B.
entailm BA = B_neutral_A.

CONCEPTS A: ?,HumanBaby=,Carnivore+,Entity+,DramaticActing+,?
CONCEPTS B: ?,NonFullyFormed+,Entity+,DramaticActing+,?

CONLL A:

1	Two	2	NUM	CD	NumType=Card|fPOS=NUM++CD	3	nummod	_	?|?
2	baby	baby	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	compound	_	09827683-n|HumanBaby=
3	pandas	panda	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	nsubj	_	02510455-n|Carnivore+
4	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	5	aux	_	02604760-v|Entity+
5	playing	play	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01719302-v|DramaticActing+
6	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?
CONLL B:

1	Two	2	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	compound	_	?|?
2	cubs	cub	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	01322685-n|NonFullyFormed+
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02604760-v|Entity+
4	playing	play	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01719302-v|DramaticActing+
5	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
