sentence A = A group of Asian girls are standing by themselves.
sentence B = Two girls are laughing and other girls are watching them.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: ?,Group=,?,AsianEthnicity=,Human+,Entity+,PhysicalAttribute+,?,?,?
CONCEPTS B: ?,Human+,Entity+,Laughing=,?,equal+,Human+,Entity+,Looking=,?,?

CONLL A:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	group	group	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nsubj	_	00031264-n|Group=
3	of	of	ADP	IN	fPOS=ADP++IN	5	case	_	?|?
4	Asian	asian	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	5	amod	_	02968525-a|AsianEthnicity=
5	girls	girl	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	2	nmod	_	10129825-n|Human+
6	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	7	aux	_	02604760-v|Entity+
7	standing	stand	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01546111-v|PhysicalAttribute+
8	by	by	ADP	IN	fPOS=ADP++IN	9	case	_	?|?
9	themselves	themselves	PRON	PRP	Number=Plur|fPOS=NOUN++NNS	7	nmod	_	?|?
10	.	.	PUNCT	.	fPOS=PUNCT++.	7	punct	_	?|?
CONLL B:

1	Two	2	NUM	CD	Number=Sing|fPOS=NOUN++NN	2	nummod	_	?|?
2	girls	girl	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	10129825-n|Human+
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02604760-v|Entity+
4	laughing	laugh	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	00031820-v|Laughing=
5	and	and	CONJ	CC	fPOS=CONJ++CC	4	cc	_	?|?
6	other	other	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	amod	_	02069355-a|equal+
7	girls	girl	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	9	nsubj	_	10129825-n|Human+
8	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	9	aux	_	02604760-v|Entity+
9	watching	watch	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	4	conj	_	02150948-v|Looking=
10	them	them	PRON	PRP	Case=Acc|Number=Plur|Person=3|PronType=Prs|fPOS=PRON++PRP	9	dobj	_	?|?
11	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
