sentence A = There is no man standing beside a large and colorful birdcage.
sentence B = A man is standing beside a large and colorful birdcage.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Hominid=,SocialRole+,SubjectiveWeakPositiveAttribute+,ColorAttribute+,TrapOrCage+
CONCEPTS B: Hominid=,Entity+,PhysicalAttribute+,SubjectiveWeakPositiveAttribute+,ColorAttribute+,TrapOrCage+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	DT|?|?
4	man	man	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	2	nsubj	_	NN|02472293-n|Hominid=
5	standing	standing	VERB	VBG	Number=Sing|fPOS=NOUN++NN	4	acl	_	NN|13948136-n|SocialRole+
6	beside	beside	ADP	IN	fPOS=ADP++IN	11	case	_	IN|?|?
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	11	det	_	DT|?|?
8	large	large	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	11	amod	_	JJ|01382086-a|SubjectiveWeakPositiveAttribute+
9	and	and	CONJ	CC	fPOS=CONJ++CC	8	cc	_	CC|?|?
10	colorful	colorful	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	8	conj	_	JJ|00394562-a|ColorAttribute+
11	birdcage	birdcage	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|02843276-n|TrapOrCage+
12	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|02472293-n|Hominid=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	standing	stand	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01546111-v|PhysicalAttribute+
5	beside	beside	ADP	IN	fPOS=ADP++IN	10	case	_	IN|?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	10	det	_	DT|?|?
7	large	large	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	10	amod	_	JJ|01382086-a|SubjectiveWeakPositiveAttribute+
8	and	and	CONJ	CC	fPOS=CONJ++CC	7	cc	_	CC|?|?
9	colorful	colorful	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	conj	_	JJ|00394562-a|ColorAttribute+
10	birdcage	birdcage	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|02843276-n|TrapOrCage+
11	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
