sentence A = No group of people is gathering at a stand at the fair.
sentence B = The people are standing at a carnival.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: ?,Group=,?,GroupOfPeople=,Entity+,Meeting+,?,?,SubjectiveAssessmentAttribute=,?,?,SubjectiveWeakPositiveAttribute+,?
CONCEPTS B: ?,GroupOfPeople=,Entity+,PhysicalAttribute+,?,?,Corporation+,?

CONLL A:

1	No	no	DET	DT	fPOS=DET++DT	2	neg	_	?|?
2	group	group	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nsubj	_	00031264-n|Group=
3	of	of	ADP	IN	fPOS=ADP++IN	4	case	_	?|?
4	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	2	nmod	_	07942152-n|GroupOfPeople=
5	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	6	aux	_	02604760-v|Entity+
6	gathering	gather	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	02428924-v|Meeting+
7	at	at	ADP	IN	fPOS=ADP++IN	9	case	_	?|?
8	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	?|?
9	stand	stand	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	06210363-n|SubjectiveAssessmentAttribute=
10	at	at	ADP	IN	fPOS=ADP++IN	12	case	_	?|?
11	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	12	det	_	?|?
12	fair	fair	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	00956131-a|SubjectiveWeakPositiveAttribute+
13	.	.	PUNCT	.	fPOS=PUNCT++.	6	punct	_	?|?
CONLL B:

1	The	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	07942152-n|GroupOfPeople=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02604760-v|Entity+
4	standing	stand	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01546111-v|PhysicalAttribute+
5	at	at	ADP	IN	fPOS=ADP++IN	7	case	_	?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	carnival	carnival	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	00519333-n|Corporation+
8	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
