sentence A = Several women are taking off pink bunny ears and are pointing to the left.
sentence B = Women are wearing bunny ears and race numbers and are pointing at something in the distance.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Woman=,Entity+,IntentionalProcess+,Pink+,Position+,Ear+,Entity+,Indicating=,Hand+
CONCEPTS B: Woman=,Entity+,CoveringFn=,Position+,Ear+,Racing=,Number=,Entity+,Indicating=,LengthMeasure+

CONLL A:

1	Several	several	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	2	amod	_	?|?
2	women	woman	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	10787470-n|Woman=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02604760-v|Entity+
4	taking	take	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01151110-v|IntentionalProcess+
5	off	off	ADP	RP	fPOS=ADP++RP	4	compound:prt	_	00232936-r|?
6	pink	pink	VERB	VB	Number=Sing|fPOS=NOUN++NN	4	dobj	_	00379595-a|Pink+
7	bunny	bunny	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	compound	_	09880189-n|Position+
8	ears	ear	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	6	dobj	_	05323889-n|Ear+
9	and	and	CONJ	CC	fPOS=CONJ++CC	4	cc	_	?|?
10	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBP	11	aux	_	02604760-v|Entity+
11	pointing	point	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	conj	_	00923793-v|Indicating=
12	to	to	ADP	IN	fPOS=ADP++IN	14	case	_	?|?
13	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	14	det	_	?|?
14	left	left	NOUN	NN	Number=Sing|fPOS=NOUN++NN	11	nmod	_	05565548-n|Hand+
15	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?


CONLL B:

1	Women	woman	NOUN	NNS	Number=Sing|fPOS=NOUN++NN	3	nsubj	_	10787470-n|Woman=
2	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	3	aux	_	02604760-v|Entity+
3	wearing	wear	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	00047745-v|CoveringFn=
4	bunny	bunny	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	compound	_	09880189-n|Position+
5	ears	ear	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	3	dobj	_	05323889-n|Ear+
6	and	and	CONJ	CC	fPOS=CONJ++CC	5	cc	_	?|?
7	race	race	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	compound	_	07458453-n|Racing=
8	numbers	number	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	conj	_	13582013-n|Number=
9	and	and	CONJ	CC	fPOS=CONJ++CC	3	cc	_	?|?
10	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	11	aux	_	02604760-v|Entity+
11	pointing	point	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	3	conj	_	00923793-v|Indicating=
12	at	at	ADP	IN	fPOS=ADP++IN	13	case	_	?|?
13	something	something	NOUN	NN	Number=Sing|fPOS=NOUN++NN	11	nmod	_	?|?
14	in	in	ADP	IN	fPOS=ADP++IN	16	case	_	?|?
15	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	16	det	_	?|?
16	distance	distance	NOUN	NN	Number=Sing|fPOS=NOUN++NN	13	nmod	_	05084201-n|LengthMeasure+
17	.	.	PUNCT	.	fPOS=PUNCT++.	3	punct	_	?|?
