sentence A = One man is doing a bicycle trick in midair.
sentence B = The air is tricking a performing cyclist.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Hominid=,Entity+,IntentionalProcess+,Bicycle=,RecreationOrExercise+,Region+
CONCEPTS B: AirTransportation+,Entity+,SubjectiveAssessmentAttribute+,IntentionalProcess+,Human+

CONLL A:

1	One	1	NUM	CD	NumType=Card|fPOS=NUM++CD	2	nummod	_	Z|?|?
2	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|02472293-n|Hominid=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	doing	do	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01712704-v|IntentionalProcess+
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
6	bicycle	bicycle	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	7	amod	_	NN|02834778-n|Bicycle=
7	trick	trick	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	NN|00427580-n|RecreationOrExercise+
8	in	in	ADP	IN	fPOS=ADP++IN	9	case	_	IN|?|?
9	midair	midair	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nmod	_	NN|08600147-n|Region+
10	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?


CONLL B:

1	The	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	air	air	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|00300441-n|AirTransportation+
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	tricking	trick	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	0	ROOT	_	VBG|02575723-v|SubjectiveAssessmentAttribute+
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
6	performing	perform	NOUN	NN	VerbForm=Ger|fPOS=VERB++VBG	7	compound	_	VBG|01712704-v|IntentionalProcess+
7	cyclist	cyclist	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	NN|09986189-n|Human+
8	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
