sentence A = The piano is being played by someone.
sentence B = Someone is playing piano.
entailm AB = A_entails_B.
entailm BA = B_entails_A.

CONCEPTS A: Piano=,Entity+,Entity+,DramaticActing+
CONCEPTS B: Entity+,DramaticActing+,Piano=

CONLL A:

1	The	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	piano	piano	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubjpass	_	NN|03928116-n|Piano=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	5	aux	_	VBZ|02604760-v|Entity+
4	being	be	AUX	VBG	VerbForm=Ger|fPOS=AUX++VBG	5	auxpass	_	VBG|02604760-v|Entity+
5	played	play	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass|fPOS=VERB++VBN	0	ROOT	_	VBN|01719302-v|DramaticActing+
6	by	by	ADP	IN	fPOS=ADP++IN	7	case	_	IN|?|?
7	someone	someone	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	PRP|?|?
8	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	Fp|?|?


CONLL B:

1	Someone	someone	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	nsubj	_	PRP|?|?
2	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	3	aux	_	VBZ|02604760-v|Entity+
3	playing	play	VERB	VBG	Degree=Pos|fPOS=ADJ++JJ	0	ROOT	_	VBG|01719302-v|DramaticActing+
4	piano	piano	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	dobj	_	NN|03928116-n|Piano=
5	.	.	PUNCT	.	fPOS=PUNCT++.	3	punct	_	Fp|?|?
