sentence A = Some people at a drag race are looking at the flames that are coming out of the cars.
sentence B = People at a drag race are looking at the flames that are coming out of the cars.
entailm AB = A_entails_B.
entailm BA = B_entails_A.

CONCEPTS A: GroupOfPeople=,Process+,Racing=,Entity+,SubjectiveAssessmentAttribute+,Combustion=,Entity+,Arriving=,Giving+,Automobile=
CONCEPTS B: GroupOfPeople=,Process+,Racing=,Entity+,SubjectiveAssessmentAttribute+,Combustion=,Entity+,Arriving=,Giving+,Automobile=

CONLL A:

1	Some	some	DET	DT	fPOS=DET++DT	2	det	_	DT|?|?
2	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	8	nsubj	_	NNS|07942152-n|GroupOfPeople=
3	at	at	ADP	IN	fPOS=ADP++IN	6	case	_	IN|?|?
4	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	DT|?|?
5	drag	drag	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	6	compound	_	NN|11504898-n|Process+
6	race	race	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nmod	_	NN|07458453-n|Racing=
7	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	8	aux	_	VBP|02604760-v|Entity+
8	looking	look	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|02133435-v|SubjectiveAssessmentAttribute+
9	at	at	ADP	IN	fPOS=ADP++IN	11	case	_	IN|?|?
10	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	11	det	_	DT|?|?
11	flames	flame	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	8	nmod	_	NNS|13480848-n|Combustion=
12	that	that	PRON	WDT	PronType=Rel|fPOS=PRON++WDT	14	nsubj	_	WDT|?|?
13	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	14	aux	_	VBP|02604760-v|Entity+
14	coming	come	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	11	acl:relcl	_	VBG|02005948-v|Arriving=
15	out	out	ADP	IN	fPOS=ADP++IN	18	case	_	RP|00233413-r|Giving+
16	of	of	ADP	IN	fPOS=ADP++IN	18	case	_	IN|?|?
17	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	18	det	_	DT|?|?
18	cars	car	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	14	nmod	_	NNS|02958343-n|Automobile=
19	.	.	PUNCT	.	fPOS=PUNCT++.	8	punct	_	Fp|?|?


CONLL B:

1	People	people	NOUN	NNS	Number=Sing|fPOS=NOUN++NN	7	nsubj	_	NNS|07942152-n|GroupOfPeople=
2	at	at	ADP	IN	fPOS=ADP++IN	5	case	_	IN|?|?
3	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	5	det	_	DT|?|?
4	drag	drag	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	compound	_	NN|11504898-n|Process+
5	race	race	NOUN	NN	Number=Sing|fPOS=NOUN++NN	1	nmod	_	NN|07458453-n|Racing=
6	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	7	aux	_	VBP|02604760-v|Entity+
7	looking	look	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|02133435-v|SubjectiveAssessmentAttribute+
8	at	at	ADP	IN	fPOS=ADP++IN	10	case	_	IN|?|?
9	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	10	det	_	DT|?|?
10	flames	flame	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	7	nmod	_	NNS|13480848-n|Combustion=
11	that	that	PRON	WDT	PronType=Rel|fPOS=PRON++WDT	13	nsubj	_	WDT|?|?
12	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	13	aux	_	VBP|02604760-v|Entity+
13	coming	come	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	10	acl:relcl	_	VBG|02005948-v|Arriving=
14	out	out	ADP	IN	fPOS=ADP++IN	17	case	_	RP|00233413-r|Giving+
15	of	of	ADP	IN	fPOS=ADP++IN	17	case	_	IN|?|?
16	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	17	det	_	DT|?|?
17	cars	car	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	13	nmod	_	NNS|02958343-n|Automobile=
18	.	.	PUNCT	.	fPOS=PUNCT++.	7	punct	_	Fp|?|?
