sentence A = There is no white dog with beige spots running through a field.
sentence B = A tan dog is running through the brush.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Entity+,White=,Canine+,ColorAttribute+,Region+,Attribute+,FieldOfStudy=
CONCEPTS B: ColorAttribute+,Canine+,Entity+,Attribute+,Device+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	5	neg	_	DT|?|?
4	white	white	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	5	amod	_	JJ|00393105-a|White=
5	dog	dog	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	NN|02084071-n|Canine+
6	with	with	ADP	IN	fPOS=ADP++IN	8	case	_	IN|?|?
7	beige	beige	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	8	amod	_	JJ|00370501-a|ColorAttribute+
8	spots	spot	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	nmod	_	NNS|08664443-n|Region+
9	running	run	NOUN	NN	VerbForm=Ger|fPOS=VERB++VBG	8	acl	_	VBG|01525666-v|Attribute+
10	through	through	ADP	IN	fPOS=ADP++IN	12	case	_	IN|?|?
11	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	12	det	_	DT|?|?
12	field	field	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	NN|05996646-n|FieldOfStudy=
13	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	3	det	_	DT|?|?
2	tan	tan	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	3	amod	_	JJ|00384533-a|ColorAttribute+
3	dog	dog	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	NN|02084071-n|Canine+
4	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	5	aux	_	VBZ|02604760-v|Entity+
5	running	run	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01525666-v|Attribute+
6	through	through	ADP	IN	fPOS=ADP++IN	8	case	_	IN|?|?
7	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	8	det	_	DT|?|?
8	brush	brush	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|02908217-n|Device+
9	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	Fp|?|?
