sentence A = Someone is cutting a tomato.
sentence B = The woman is holding a whole tomato.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Entity+,Decreasing+,Tomato=
CONCEPTS B: Woman=,Entity+,PhysicalAttribute+,sibling=,Tomato=

CONLL A:

1	Someone	someone	PROPN	NNP	Number=Sing|fPOS=NOUN++NN	3	nsubj	_	?|?
2	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	3	aux	_	02604760-v|Entity+
3	cutting	cut	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	00429060-v|Decreasing+
4	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	5	det	_	?|?
5	tomato	tomato	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	dobj	_	07734017-n|Tomato=
6	.	.	PUNCT	.	fPOS=PUNCT++.	3	punct	_	?|?


CONLL B:

1	The	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	10787470-n|Woman=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	4	aux	_	02604760-v|Entity+
4	holding	hold	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	0	ROOT	_	02701210-v|PhysicalAttribute+
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	?|?
6	whole	whole	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	amod	_	00517916-a|sibling=
7	tomato	tomato	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	07734017-n|Tomato=
8	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
