sentence A = There is no man breaking wooden boards with his hand.
sentence B = A man is breaking wooden boards with his hand.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Hominid=,EndFn+,SubjectiveAssessmentAttribute+,Table+,Hand+
CONCEPTS B: Hominid=,Entity+,EndFn+,SubjectiveAssessmentAttribute+,Table+,Hand+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	DT|?|?
4	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	NN|02472293-n|Hominid=
5	breaking	break	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	VBG|02681524-v|EndFn+
6	wooden	wooden	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	compound	_	JJ|01141595-a|SubjectiveAssessmentAttribute+
7	boards	board	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	dobj	_	NNS|03201208-n|Table+
8	with	with	ADP	IN	fPOS=ADP++IN	10	case	_	IN|?|?
9	his	his	PRON	PRP$	Gender=Masc|Number=Sing|Person=3|Poss=Yes|PronType=Prs|fPOS=PRON++PRP$	10	nmod:poss	_	PRP$|?|?
10	hand	hand	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nmod	_	NN|05564590-n|Hand+
11	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|02472293-n|Hominid=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	breaking	break	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|02681524-v|EndFn+
5	wooden	wooden	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	6	amod	_	JJ|01141595-a|SubjectiveAssessmentAttribute+
6	boards	board	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	dobj	_	NNS|03201208-n|Table+
7	with	with	ADP	IN	fPOS=ADP++IN	9	case	_	IN|?|?
8	his	his	PRON	PRP$	Gender=Masc|Number=Sing|Person=3|Poss=Yes|PronType=Prs|fPOS=PRON++PRP$	9	nmod:poss	_	PRP$|?|?
9	hand	hand	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	NN|05564590-n|Hand+
10	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
