sentence A = Two cars for racing are on a road in front of a grassy parking area.
sentence B = A white car and a yellow car are racing down the track.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Automobile=,Motion+,Entity+,Roadway+,FrontFn=,FloweringPlant+,Region+,SubjectiveAssessmentAttribute+
CONCEPTS B: White=,Automobile=,SubjectiveAssessmentAttribute+,Automobile=,Entity+,Motion+,earlier+,StationaryArtifact+

CONLL A:

1	Two	2	NUM	CD	NumType=Card|fPOS=NUM++CD	2	nummod	_	Z|?|?
2	cars	car	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	8	nsubj	_	NNS|02958343-n|Automobile=
3	for	for	SCONJ	IN	fPOS=SCONJ++IN	4	mark	_	IN|?|?
4	racing	race	VERB	VBG	Number=Sing|fPOS=NOUN++NN	2	acl	_	VBG|02058994-v|Motion+
5	are	be	VERB	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBP	8	cop	_	VBP|02604760-v|Entity+
6	on	on	ADP	IN	fPOS=ADP++IN	8	case	_	IN|?|?
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	DT|?|?
8	road	road	NOUN	NN	Number=Sing|fPOS=NOUN++NN	0	ROOT	_	NN|04096066-n|Roadway+
9	in	in	ADP	IN	fPOS=ADP++IN	10	case	_	IN|?|?
10	front	front	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nmod	_	NN|08573472-n|FrontFn=
11	of	of	ADP	IN	fPOS=ADP++IN	15	case	_	IN|?|?
12	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	15	det	_	DT|?|?
13	grassy	grassy	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	15	compound	_	JJ|00209620-a|FloweringPlant+
14	parking	parking	VERB	VBG	Number=Sing|fPOS=NOUN++NN	15	compound	_	NN|13778671-n|Region+
15	area	area	NOUN	NN	Number=Sing|fPOS=NOUN++NN	10	nmod	_	NN|14514039-n|SubjectiveAssessmentAttribute+
16	.	.	PUNCT	.	fPOS=PUNCT++.	8	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	3	det	_	DT|?|?
2	white	white	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	3	amod	_	JJ|00393105-a|White=
3	car	car	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nsubj	_	NN|02958343-n|Automobile=
4	and	and	CONJ	CC	fPOS=CONJ++CC	3	cc	_	CC|?|?
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
6	yellow	yellow	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	amod	_	JJ|02101942-a|SubjectiveAssessmentAttribute+
7	car	car	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	conj	_	NN|02958343-n|Automobile=
8	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	9	aux	_	VBP|02604760-v|Entity+
9	racing	race	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	0	ROOT	_	VBG|02058994-v|Motion+
10	down	down	ADP	IN	fPOS=ADP++IN	12	case	_	RP|00096089-r|earlier+
11	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	12	det	_	DT|?|?
12	track	track	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	NN|04037625-n|StationaryArtifact+
13	.	.	PUNCT	.	fPOS=PUNCT++.	9	punct	_	Fp|?|?
