sentence A = One person is slicing a clove of garlic into pieces.
sentence B = The person is slicing a clove of garlic into pieces.
entailm AB = A_entails_B.
entailm BA = B_entails_A.

CONCEPTS A: Human=,Entity+,Separating+,FruitOrVegetable+,Garlic=,PreparedFood+
CONCEPTS B: Human=,Entity+,Separating+,FruitOrVegetable+,Garlic=,PreparedFood+

CONLL A:

1	One	1	NUM	CD	NumType=Card|fPOS=NUM++CD	2	nummod	_	Z|?|?
2	person	person	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|00007846-n|Human=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	slicing	slice	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01254477-v|Separating+
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	DT|?|?
6	clove	clove	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	NN|07814487-n|FruitOrVegetable+
7	of	of	ADP	IN	fPOS=ADP++IN	8	case	_	IN|?|?
8	garlic	garlic	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	6	nmod	_	NN|07818277-n|Garlic=
9	into	into	ADP	IN	fPOS=ADP++IN	10	case	_	IN|?|?
10	pieces	piece	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nmod	_	NNS|07654667-n|PreparedFood+
11	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?


CONLL B:

1	The	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	person	person	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|00007846-n|Human=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	slicing	slice	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01254477-v|Separating+
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	DT|?|?
6	clove	clove	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	NN|07814487-n|FruitOrVegetable+
7	of	of	ADP	IN	fPOS=ADP++IN	8	case	_	IN|?|?
8	garlic	garlic	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	6	nmod	_	NN|07818277-n|Garlic=
9	into	into	ADP	IN	fPOS=ADP++IN	10	case	_	IN|?|?
10	pieces	piece	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nmod	_	NNS|07654667-n|PreparedFood+
11	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
