sentence A = Three men are sitting on a hill and looking at the mountains and sky.
sentence B = Some meat is being stitched together by a woman.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Hominid=,PhysicalAttribute+,SittingDown+,Hill+,SubjectiveAssessmentAttribute+,SubjectiveAssessmentAttribute+,SpaceRegion=
CONCEPTS B: SubjectiveAssessmentAttribute+,Entity+,Entity+,Sewing+,Meeting=,Woman=

CONLL A:

1	Three	3	NUM	CD	Number=Plur|PronType=Dem|fPOS=DET++DT	2	nummod	_	?|?
2	men	man	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	02472293-n|Hominid=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02655135-v|PhysicalAttribute+
4	sitting	sit	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01543123-v|SittingDown+
5	on	on	ADP	IN	fPOS=ADP++IN	7	case	_	?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	hill	hill	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	03792048-n|Hill+
8	and	and	CONJ	CC	fPOS=CONJ++CC	4	cc	_	?|?
9	looking	look	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	conj	_	02133435-v|SubjectiveAssessmentAttribute+
10	at	at	ADP	IN	fPOS=ADP++IN	12	case	_	?|?
11	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	12	det	_	?|?
12	mountains	mountain	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	9	nmod	_	13774404-n|SubjectiveAssessmentAttribute+
13	and	and	CONJ	CC	fPOS=CONJ++CC	12	cc	_	?|?
14	sky	sky	NOUN	NN	Number=Sing|fPOS=NOUN++NN	12	conj	_	09436708-n|SpaceRegion=
15	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?


CONLL B:

1	Some	some	DET	DT	fPOS=DET++DT	2	det	_	?|?
2	meat	meat	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubjpass	_	05921123-n|SubjectiveAssessmentAttribute+
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	5	aux	_	02604760-v|Entity+
4	being	be	AUX	VBG	VerbForm=Ger|fPOS=AUX++VBG	5	auxpass	_	02604760-v|Entity+
5	stitched	stitch	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass|fPOS=VERB++VBN	0	ROOT	_	01329239-v|Sewing+
6	together	together	ADV	RB	Number=Sing|fPOS=NOUN++NN	5	advmod	_	00507927-r|Meeting=
7	by	by	ADP	IN	fPOS=ADP++IN	9	case	_	?|?
8	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	?|?
9	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	10787470-n|Woman=
10	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?
