sentence A = No people is sitting around a fire at night.
sentence B = Several people are sitting around a fire at night.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: GroupOfPeople=,PhysicalAttribute+,SittingDown+,Combustion=,NightTime+
CONCEPTS B: GroupOfPeople=,PhysicalAttribute+,SittingDown+,Combustion=,NightTime+

CONLL A:

1	No	no	DET	DT	fPOS=DET++DT	2	neg	_	DT|?|?
2	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	NNS|07942152-n|GroupOfPeople=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02655135-v|PhysicalAttribute+
4	sitting	sit	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01543123-v|SittingDown+
5	around	around	ADP	IN	fPOS=ADP++IN	7	case	_	RP|00007015-r|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
7	fire	fire	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|13480848-n|Combustion=
8	at	at	ADP	IN	fPOS=ADP++IN	9	case	_	IN|?|?
9	night	night	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|15167027-n|NightTime+
10	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?


CONLL B:

1	Several	several	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	2	amod	_	DT|?|?
2	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	NNS|07942152-n|GroupOfPeople=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	VBP|02655135-v|PhysicalAttribute+
4	sitting	sit	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01543123-v|SittingDown+
5	around	around	ADP	IN	fPOS=ADP++IN	7	case	_	IN|?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
7	fire	fire	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|13480848-n|Combustion=
8	at	at	ADP	IN	fPOS=ADP++IN	9	case	_	IN|?|?
9	night	night	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|15167027-n|NightTime+
10	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
