sentence A = Hay is being eaten by a cow.
sentence B = A cow is eating grass.
entailm AB = A_entails_B.
entailm BA = B_neutral_A.

CONCEPTS A: Hay=,Entity+,Entity+,Process+,FemaleCow=
CONCEPTS B: FemaleCow=,Entity+,Process+,Grass=

CONLL A:

1	Hay	hay	PRON	EX	Number=Sing|fPOS=NOUN++NN	4	nsubjpass	_	07802026-n|Hay=
2	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
3	being	be	AUX	VBG	VerbForm=Ger|fPOS=AUX++VBG	4	auxpass	_	02604760-v|Entity+
4	eaten	eat	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass|fPOS=VERB++VBN	0	ROOT	_	01157517-v|Process+
5	by	by	ADP	IN	fPOS=ADP++IN	7	case	_	?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	cow	cow	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	02403454-n|FemaleCow=
8	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	cow	cow	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	02403454-n|FemaleCow=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	5	cop	_	02604760-v|Entity+
4	eating	eat	VERB	VBG	Degree=Pos|fPOS=ADJ++JJ	5	amod	_	01157517-v|Process+
5	grass	grass	NOUN	NN	Number=Sing|fPOS=NOUN++NN	0	ROOT	_	12102133-n|Grass=
6	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?
