sentence A = Two dogs of different breeds are looking at each other across a street.
sentence B = There are no dogs of different breeds looking at each other across a street.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Canine+,equal+,DomesticAnimal+,Entity+,FrontFn+,equal+,Roadway=
CONCEPTS B: Entity+,Canine+,equal+,DomesticAnimal+,FrontFn+,equal+,Roadway=

CONLL A:

1	Two	2	NUM	CD	NumType=Card|fPOS=NUM++CD	2	nummod	_	Z|?|?
2	dogs	dog	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	7	nsubj	_	NNS|02084071-n|Canine+
3	of	of	ADP	IN	fPOS=ADP++IN	5	case	_	IN|?|?
4	different	different	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	5	amod	_	JJ|02064745-a|equal+
5	breeds	breed	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	2	nmod	_	NNS|08101410-n|DomesticAnimal+
6	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	7	aux	_	VBP|02604760-v|Entity+
7	looking	look	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|02693319-v|FrontFn+
8	at	at	ADP	IN	fPOS=ADP++IN	10	case	_	IN|?|?
9	each	each	DET	DT	fPOS=DET++DT	10	det	_	DT|?|?
10	other	other	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	nmod	_	JJ|02069355-a|equal+
11	across	across	ADP	IN	fPOS=ADP++IN	13	case	_	IN|?|?
12	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	13	det	_	DT|?|?
13	street	street	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nmod	_	NN|04334599-n|Roadway=
14	.	.	PUNCT	.	fPOS=PUNCT++.	7	punct	_	Fp|?|?


CONLL B:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	are	be	VERB	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBP	0	ROOT	_	VBP|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	DT|?|?
4	dogs	dog	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	2	nsubj	_	NNS|02084071-n|Canine+
5	of	of	ADP	IN	fPOS=ADP++IN	7	case	_	IN|?|?
6	different	different	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	amod	_	JJ|02064745-a|equal+
7	breeds	breed	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nmod	_	NNS|08101410-n|DomesticAnimal+
8	looking	look	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	7	acl	_	VBG|02693319-v|FrontFn+
9	at	at	ADP	IN	fPOS=ADP++IN	11	case	_	IN|?|?
10	each	each	DET	DT	fPOS=DET++DT	11	det	_	DT|?|?
11	other	other	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	8	nmod	_	JJ|02069355-a|equal+
12	across	across	ADP	IN	fPOS=ADP++IN	14	case	_	IN|?|?
13	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	14	det	_	DT|?|?
14	street	street	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nmod	_	NN|04334599-n|Roadway=
15	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?
