sentence A = Four people are walking along a city sidewalk and the one in the green hat is talking on a cell phone.
sentence B = A group of people is not walking down the street and a person in a green hat is on the phone.
entailm AB = A_contradicts_B.
entailm BA = B_neutral_A.

CONCEPTS A: GroupOfPeople=,Entity+,Walking=,City=,Sidewalk=,PositiveInteger@,Green=,Hat+,Entity+,Speaking+,Cell=,Telephone=
CONCEPTS B: Group=,GroupOfPeople=,Entity+,not=,Walking=,earlier+,Roadway=,Human=,Green=,Hat+,Entity+,Telephone=

CONLL A:

1	Four	4	PRON	PRP$	NumType=Card|fPOS=NUM++CD	2	nummod	_	Z|?|?
2	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	NNS|07942152-n|GroupOfPeople=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	VBP|02604760-v|Entity+
4	walking	walk	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01904930-v|Walking=
5	along	along	ADV	RB	fPOS=ADP++IN	8	case	_	IN|?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	DT|?|?
7	city	city	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	compound	_	NN|08524735-n|City=
8	sidewalk	sidewalk	NOUN	NN	Number=Sing|fPOS=PROPN++NNP	4	nmod	_	NN|04215402-n|Sidewalk=
9	and	and	CONJ	CC	fPOS=CONJ++CC	4	cc	_	CC|?|?
10	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	11	det	_	DT|?|?
11	one	one	NOUN	NN	NumType=Card|fPOS=NUM++CD	17	nsubj	_	NN|13742573-n|PositiveInteger@
12	in	in	ADP	IN	fPOS=ADP++IN	15	case	_	IN|?|?
13	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	15	det	_	DT|?|?
14	green	green	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	15	amod	_	JJ|00375969-a|Green=
15	hat	hat	NOUN	NN	Number=Sing|fPOS=NOUN++NN	11	nmod	_	NN|03497657-n|Hat+
16	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	17	aux	_	VBZ|02604760-v|Entity+
17	talking	talk	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	4	conj	_	VBG|00941990-v|Speaking+
18	on	on	ADP	IN	fPOS=ADP++IN	21	case	_	IN|?|?
19	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	21	det	_	DT|?|?
20	cell	cell	NOUN	NN	Number=Sing|fPOS=NOUN++NN	21	compound	_	NN|00006484-n|Cell=
21	phone	phone	NOUN	NN	Number=Sing|fPOS=NOUN++NN	17	nmod	_	NN|04401088-n|Telephone=
22	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	group	group	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nsubj	_	NN|00031264-n|Group=
3	of	of	ADP	IN	fPOS=ADP++IN	4	case	_	IN|?|?
4	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	2	nmod	_	NNS|07942152-n|GroupOfPeople=
5	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	7	aux	_	VBZ|02604760-v|Entity+
6	not	not	PART	RB	fPOS=PART++RB	7	neg	_	RB|00024073-r|not=
7	walking	walk	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	0	ROOT	_	VBG|01904930-v|Walking=
8	down	down	ADP	IN	fPOS=ADP++IN	10	case	_	RP|00096089-r|earlier+
9	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	10	det	_	DT|?|?
10	street	street	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nmod	_	NN|04334599-n|Roadway=
11	and	and	CONJ	CC	fPOS=CONJ++CC	7	cc	_	CC|?|?
12	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	13	det	_	DT|?|?
13	person	person	NOUN	NN	Number=Sing|fPOS=NOUN++NN	21	nsubj	_	NN|00007846-n|Human=
14	in	in	ADP	IN	fPOS=ADP++IN	17	case	_	IN|?|?
15	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	17	det	_	DT|?|?
16	green	green	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	17	amod	_	JJ|00375969-a|Green=
17	hat	hat	NOUN	NN	Number=Sing|fPOS=NOUN++NN	13	nmod	_	NN|03497657-n|Hat+
18	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	21	cop	_	VBZ|02604760-v|Entity+
19	on	on	ADP	IN	fPOS=ADP++IN	21	case	_	IN|?|?
20	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	21	det	_	DT|?|?
21	phone	phone	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	conj	_	NN|04401088-n|Telephone=
22	.	.	PUNCT	.	fPOS=PUNCT++.	7	punct	_	Fp|?|?
