sentence A = One truck is quickly going down the hill.
sentence B = A truck is quickly going down a hill.
entailm AB = A_entails_B.
entailm BA = B_entails_A.

CONCEPTS A: Truck=,Entity+,SubjectiveAssessmentAttribute+,WhenFn=,earlier+,Hill=
CONCEPTS B: Truck=,Entity+,SubjectiveAssessmentAttribute+,WhenFn=,earlier+,Hill=

CONLL A:

1	One	1	NUM	CD	NumType=Card|fPOS=NUM++CD	2	nummod	_	?|?
2	truck	truck	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	04490091-n|Truck=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	5	aux	_	02604760-v|Entity+
4	quickly	quickly	ADV	RB	fPOS=ADV++RB	5	advmod	_	00085811-r|SubjectiveAssessmentAttribute+
5	going	go	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	02618149-v|WhenFn=
6	down	down	ADP	IN	fPOS=ADP++IN	8	case	_	00096089-r|earlier+
7	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	8	det	_	?|?
8	hill	hill	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	09303008-n|Hill=
9	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	truck	truck	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	04490091-n|Truck=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	5	aux	_	02604760-v|Entity+
4	quickly	quickly	ADV	RB	fPOS=ADV++RB	5	advmod	_	00085811-r|SubjectiveAssessmentAttribute+
5	going	go	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	0	ROOT	_	02618149-v|WhenFn=
6	down	down	ADP	IN	fPOS=ADP++IN	8	case	_	00096089-r|earlier+
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	?|?
8	hill	hill	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	09303008-n|Hill=
9	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?
