sentence A = Two tall basketball players are scrambling for the ball on the court.
sentence B = A basketball player is on the court floor and another one is grabbing the ball.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: SubjectiveWeakNegativeAttribute+,Basketball=,Human+,Entity+,Putting+,Ball=,Government+
CONCEPTS B: Basketball=,Human+,Entity+,Government+,Floor+,PositiveInteger@,Entity+,Grabbing+,Ball=

CONLL A:

1	Two	2	NOUN	NN	NumType=Card|fPOS=NUM++CD	4	nummod	_	Z|?|?
2	tall	tall	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	3	compound	_	JJ|02385102-a|SubjectiveWeakNegativeAttribute+
3	basketball	basketball	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	compound	_	NN|00480993-n|Basketball=
4	players	player	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	6	nsubj	_	NNS|10439851-n|Human+
5	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	6	aux	_	VBP|02604760-v|Entity+
6	scrambling	scramble	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01472807-v|Putting+
7	for	for	ADP	IN	fPOS=ADP++IN	9	case	_	IN|?|?
8	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	9	det	_	DT|?|?
9	ball	ball	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	NN|02778669-n|Ball=
10	on	on	ADP	IN	fPOS=ADP++IN	12	case	_	IN|?|?
11	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	12	det	_	DT|?|?
12	court	court	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	NN|08329453-n|Government+
13	.	.	PUNCT	.	fPOS=PUNCT++.	6	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	3	det	_	DT|?|?
2	basketball	basketball	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	3	amod	_	NN|00480993-n|Basketball=
3	player	player	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nsubj	_	NN|10439851-n|Human+
4	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	8	cop	_	VBZ|02604760-v|Entity+
5	on	on	ADP	IN	fPOS=ADP++IN	8	case	_	IN|?|?
6	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	8	det	_	DT|?|?
7	court	court	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	8	amod	_	NN|08329453-n|Government+
8	floor	floor	NOUN	NN	Number=Sing|fPOS=NOUN++NN	0	ROOT	_	NN|03365592-n|Floor+
9	and	and	CONJ	CC	fPOS=CONJ++CC	8	cc	_	CC|?|?
10	another	another	DET	DT	fPOS=DET++DT	11	det	_	DT|?|?
11	one	one	NOUN	NN	Number=Sing|fPOS=NOUN++NN	13	nsubj	_	NN|13742573-n|PositiveInteger@
12	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	13	aux	_	VBZ|02604760-v|Entity+
13	grabbing	grab	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	8	conj	_	VBG|01439190-v|Grabbing+
14	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	15	det	_	DT|?|?
15	ball	ball	NOUN	NN	Number=Sing|fPOS=NOUN++NN	13	dobj	_	NN|02778669-n|Ball=
16	.	.	PUNCT	.	fPOS=PUNCT++.	8	punct	_	Fp|?|?
