sentence A = One man is doing a bicycle trick in midair.
sentence B = A man is failing to perform a bicycle trick in midair.
entailm AB = A_neutral_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Hominid=,Entity+,IntentionalProcess+,Bicycle=,RecreationOrExercise+,Region+
CONCEPTS B: Hominid=,Entity+,NormativeAttribute+,IntentionalProcess+,Bicycle=,RecreationOrExercise+,Region+

CONLL A:

1	One	1	NUM	CD	NumType=Card|fPOS=NUM++CD	2	nummod	_	Z|?|?
2	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|02472293-n|Hominid=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	doing	do	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01712704-v|IntentionalProcess+
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
6	bicycle	bicycle	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	7	amod	_	NN|02834778-n|Bicycle=
7	trick	trick	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	NN|00427580-n|RecreationOrExercise+
8	in	in	ADP	IN	fPOS=ADP++IN	9	case	_	IN|?|?
9	midair	midair	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nmod	_	NN|08600147-n|Region+
10	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|02472293-n|Hominid=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	failing	fail	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|02523521-v|NormativeAttribute+
5	to	to	PART	TO	fPOS=PART++TO	6	mark	_	TO|?|?
6	perform	perform	VERB	VB	VerbForm=Inf|fPOS=VERB++VB	4	advcl	_	VB|01712704-v|IntentionalProcess+
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	DT|?|?
8	bicycle	bicycle	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	9	amod	_	NN|02834778-n|Bicycle=
9	trick	trick	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	dobj	_	NN|00427580-n|RecreationOrExercise+
10	in	in	ADP	IN	fPOS=ADP++IN	11	case	_	IN|?|?
11	midair	midair	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	NN|08600147-n|Region+
12	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
