sentence A = Two women with dogs are walking on a forest path.
sentence B = Two girl with dogs are walking on a forest path.
entailm AB = A_entails_B.
entailm BA = B_neutral_A.

CONCEPTS A: Woman=,Canine+,Entity+,Walking=,Forest=,Transitway+
CONCEPTS B: Human+,Canine+,Entity+,Walking=,Forest=,Transitway+

CONLL A:

1	Two	2	NUM	CD	NumType=Card|fPOS=NUM++CD	2	nummod	_	Z|?|?
2	women	woman	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	6	nsubj	_	NNS|10787470-n|Woman=
3	with	with	ADP	IN	fPOS=ADP++IN	4	case	_	IN|?|?
4	dogs	dog	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	2	nmod	_	NNS|02084071-n|Canine+
5	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	6	aux	_	VBP|02604760-v|Entity+
6	walking	walk	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	0	ROOT	_	VBG|01904930-v|Walking=
7	on	on	ADP	IN	fPOS=ADP++IN	10	case	_	IN|?|?
8	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	10	det	_	DT|?|?
9	forest	forest	NOUN	NN	Degree=Sup|fPOS=ADJ++JJS	10	compound	_	NN|09284015-n|Forest=
10	path	path	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	NN|08616311-n|Transitway+
11	.	.	PUNCT	.	fPOS=PUNCT++.	6	punct	_	Fp|?|?


CONLL B:

1	Two	2	PART	TO	Degree=Pos|fPOS=ADJ++JJ	2	compound	_	Z|?|?
2	girl	girl	VERB	VB	Number=Sing|fPOS=NOUN++NN	6	nsubj	_	NN|10129825-n|Human+
3	with	with	ADP	IN	fPOS=ADP++IN	4	case	_	IN|?|?
4	dogs	dog	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	2	nmod	_	NNS|02084071-n|Canine+
5	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	6	aux	_	VBP|02604760-v|Entity+
6	walking	walk	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01904930-v|Walking=
7	on	on	ADP	IN	fPOS=ADP++IN	10	case	_	IN|?|?
8	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	10	det	_	DT|?|?
9	forest	forest	NOUN	NN	Degree=Sup|fPOS=ADJ++JJS	10	compound	_	NN|09284015-n|Forest=
10	path	path	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	NN|08616311-n|Transitway+
11	.	.	PUNCT	.	fPOS=PUNCT++.	6	punct	_	Fp|?|?
