sentence A = Video games of two playing boys are on a couch.
sentence B = Someone is pouring ingredients into a pot.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: TelevisionBroadcasting+,Game=,DramaticActing+,Human+,Entity+,Sofa=
CONCEPTS B: Entity+,Pouring=,Abstract+,SubjectiveAssessmentAttribute+

CONLL A:

1	Video	video	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	2	compound	_	06277280-n|TelevisionBroadcasting+
2	games	game	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	10	nsubj	_	00455599-n|Game=
3	of	of	ADP	IN	fPOS=ADP++IN	6	case	_	?|?
4	two	2	NUM	CD	NumType=Card|fPOS=NUM++CD	5	nummod	_	?|?
5	playing	play	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	compound	_	01719302-v|DramaticActing+
6	boys	boy	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	2	nmod	_	10285313-n|Human+
7	are	be	VERB	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBP	10	cop	_	02604760-v|Entity+
8	on	on	ADP	IN	fPOS=ADP++IN	10	case	_	?|?
9	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	10	det	_	?|?
10	couch	couch	NOUN	NN	Number=Sing|fPOS=NOUN++NN	0	ROOT	_	04256520-n|Sofa=
11	.	.	PUNCT	.	fPOS=PUNCT++.	10	punct	_	?|?


CONLL B:

1	Someone	someone	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	nsubj	_	?|?
2	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	3	aux	_	02604760-v|Entity+
3	pouring	pour	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	02069551-v|Pouring=
4	ingredients	ingredient	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	3	dobj	_	05868954-n|Abstract+
5	into	into	ADP	IN	fPOS=ADP++IN	7	case	_	?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	pot	pot	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	nmod	_	13774404-n|SubjectiveAssessmentAttribute+
8	.	.	PUNCT	.	fPOS=PUNCT++.	3	punct	_	?|?
