sentence A = Two dogs of different breeds are looking angrily at each other across a street.
sentence B = A dog, which is black, and a white one are staring at each other in the street.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Canine+,equal+,DomesticAnimal+,Entity+,FrontFn+,EmotionalState+,equal+,Roadway=
CONCEPTS B: Canine+,Entity+,Black=,White=,Entity+,Looking=,equal+,Roadway=

CONLL A:

1	Two	2	NUM	CD	NumType=Card|fPOS=NUM++CD	2	nummod	_	Z|?|?
2	dogs	dog	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	7	nsubj	_	NNS|02084071-n|Canine+
3	of	of	ADP	IN	fPOS=ADP++IN	5	case	_	IN|?|?
4	different	different	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	5	amod	_	JJ|02064745-a|equal+
5	breeds	breed	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	2	nmod	_	NNS|08101410-n|DomesticAnimal+
6	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	7	aux	_	VBP|02604760-v|Entity+
7	looking	look	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|02693319-v|FrontFn+
8	angrily	angrily	ADV	RB	fPOS=ADV++RB	7	advmod	_	RB|00227323-r|EmotionalState+
9	at	at	ADP	IN	fPOS=ADP++IN	11	case	_	IN|?|?
10	each	each	DET	DT	fPOS=DET++DT	11	det	_	DT|?|?
11	other	other	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	nmod	_	JJ|02069355-a|equal+
12	across	across	ADP	IN	fPOS=ADP++IN	14	case	_	IN|?|?
13	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	14	det	_	DT|?|?
14	street	street	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nmod	_	NN|04334599-n|Roadway=
15	.	.	PUNCT	.	fPOS=PUNCT++.	7	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	dog	dog	NOUN	NN	Number=Sing|fPOS=NOUN++NN	13	nsubj	_	NN|02084071-n|Canine+
3	,	,	PUNCT	,	fPOS=PUNCT++,	2	punct	_	Fc|?|?
4	which	which	PRON	WDT	PronType=Rel|fPOS=PRON++WDT	6	nsubj	_	WDT|?|?
5	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	6	cop	_	VBZ|02604760-v|Entity+
6	black	black	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	2	acl:relcl	_	JJ|00392812-a|Black=
7	,	,	PUNCT	,	fPOS=PUNCT++,	6	punct	_	Fc|?|?
8	and	and	CONJ	CC	fPOS=CONJ++CC	6	cc	_	CC|?|?
9	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	11	det	_	DT|?|?
10	white	white	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	11	amod	_	JJ|00393105-a|White=
11	one	1	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	conj	_	Z|?|?
12	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	13	aux	_	VBP|02604760-v|Entity+
13	staring	stare	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|02132745-v|Looking=
14	at	at	ADP	IN	fPOS=ADP++IN	16	case	_	IN|?|?
15	each	each	DET	DT	fPOS=DET++DT	16	det	_	DT|?|?
16	other	other	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	13	nmod	_	JJ|02069355-a|equal+
17	in	in	ADP	IN	fPOS=ADP++IN	19	case	_	IN|?|?
18	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	19	det	_	DT|?|?
19	street	street	NOUN	NN	Number=Sing|fPOS=NOUN++NN	13	nmod	_	NN|04334599-n|Roadway=
20	.	.	PUNCT	.	fPOS=PUNCT++.	13	punct	_	Fp|?|?
