sentence A = There is no rhino grazing in a field.
sentence B = The rhino is grazing on the grass.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,HoofedMammal+,Touching+,FieldOfStudy=
CONCEPTS B: HoofedMammal+,Entity+,Touching+,Grass=

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	5	neg	_	DT|?|?
4	rhino	rhino	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	5	amod	_	NN|02391994-n|HoofedMammal+
5	grazing	graze	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	VBG|01240514-v|Touching+
6	in	in	ADP	IN	fPOS=ADP++IN	8	case	_	IN|?|?
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	DT|?|?
8	field	field	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|05996646-n|FieldOfStudy=
9	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	The	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	rhino	rhino	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|02391994-n|HoofedMammal+
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	grazing	graze	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01240514-v|Touching+
5	on	on	ADP	IN	fPOS=ADP++IN	7	case	_	IN|?|?
6	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
7	grass	grass	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|12102133-n|Grass=
8	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
