sentence A = Two people are standing in the ocean and watching the sunset.
sentence B = Nobody is standing in the ocean and watching the sunset.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: GroupOfPeople=,Entity+,PhysicalAttribute+,Ocean=,Looking=,Sunset+
CONCEPTS B: Entity+,PhysicalAttribute+,Ocean=,Looking=,Sunset+

CONLL A:

1	Two	2	NUM	CD	_	2	num	_	Z|?|?
2	people	people	NOUN	NNS	_	4	nsubj	_	NNS|07942152-n|GroupOfPeople=
3	are	be	VERB	VBP	_	4	aux	_	VBP|02604760-v|Entity+
4	standing	stand	VERB	VBG	_	0	ROOT	_	VBG|01546111-v|PhysicalAttribute+
5	in	in	ADP	IN	_	4	prep	_	IN|?|?
6	the	the	DET	DT	_	7	det	_	DT|?|?
7	ocean	ocean	NOUN	NN	_	5	pobj	_	NN|09376198-n|Ocean=
8	and	and	CONJ	CC	_	4	cc	_	CC|?|?
9	watching	watch	VERB	VBG	_	4	conj	_	VBG|02150948-v|Looking=
10	the	the	DET	DT	_	11	det	_	DT|?|?
11	sunset	sunset	NOUN	NN	_	9	dobj	_	NN|15169248-n|Sunset+
12	.	.	.	.	_	4	punct	_	Fp|?|?


CONLL B:

1	Nobody	nobody	NOUN	NN	_	3	nsubj	_	PRP|?|?
2	is	be	VERB	VBZ	_	3	aux	_	VBZ|02604760-v|Entity+
3	standing	stand	VERB	VBG	_	0	ROOT	_	VBG|01546111-v|PhysicalAttribute+
4	in	in	ADP	IN	_	3	prep	_	IN|?|?
5	the	the	DET	DT	_	6	det	_	DT|?|?
6	ocean	ocean	NOUN	NN	_	4	pobj	_	NN|09376198-n|Ocean=
7	and	and	CONJ	CC	_	3	cc	_	CC|?|?
8	watching	watch	VERB	VBG	_	3	conj	_	VBG|02150948-v|Looking=
9	the	the	DET	DT	_	10	det	_	DT|?|?
10	sunset	sunset	NOUN	NN	_	8	dobj	_	NN|15169248-n|Sunset+
11	.	.	.	.	_	3	punct	_	Fp|?|?
