sentence A = There is no girl with black and orange patches on the cheeks.
sentence B = A girl has black and orange patches on the cheeks.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Human+,Black=,OrangeColor+,TimeDuration+,TraitAttribute+
CONCEPTS B: Human+,Damaging+,Black=,OrangeColor+,TimeDuration+,TraitAttribute+

CONLL A:

1	There	there	DET	EX	_	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	_	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	_	4	det	_	DT|?|?
4	girl	girl	NOUN	NN	_	2	nsubj	_	NN|10129825-n|Human+
5	with	with	ADP	IN	_	4	prep	_	IN|?|?
6	black	black	ADJ	JJ	_	9	amod	_	JJ|00392812-a|Black=
7	and	and	CONJ	CC	_	6	cc	_	CC|?|?
8	orange	orange	NOUN	NN	_	6	conj	_	NN|04965179-n|OrangeColor+
9	patches	patch	NOUN	NNS	_	5	pobj	_	NNS|15246353-n|TimeDuration+
10	on	on	ADP	IN	_	9	prep	_	IN|?|?
11	the	the	DET	DT	_	12	det	_	DT|?|?
12	cheeks	cheek	NOUN	NNS	_	10	pobj	_	NNS|04838210-n|TraitAttribute+
13	.	.	.	.	_	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	_	2	det	_	DT|?|?
2	girl	girl	NOUN	NN	_	3	nsubj	_	NN|10129825-n|Human+
3	has	have	VERB	VBZ	_	0	ROOT	_	VBZ|00065639-v|Damaging+
4	black	black	ADJ	JJ	_	7	amod	_	JJ|00392812-a|Black=
5	and	and	CONJ	CC	_	4	cc	_	CC|?|?
6	orange	orange	NOUN	NN	_	4	conj	_	NN|04965179-n|OrangeColor+
7	patches	patch	NOUN	NNS	_	3	dobj	_	NNS|15246353-n|TimeDuration+
8	on	on	ADP	IN	_	7	prep	_	IN|?|?
9	the	the	DET	DT	_	10	det	_	DT|?|?
10	cheeks	cheek	NOUN	NNS	_	8	pobj	_	NNS|04838210-n|TraitAttribute+
11	.	.	.	.	_	3	punct	_	Fp|?|?
