sentence A = There is no woman stroking a lemur.
sentence B = A woman is stroking a lemur.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Woman=,SocialInteraction+,Primate+
CONCEPTS B: Woman=,Entity+,SocialInteraction+,Primate+

CONLL A:

1	There	there	DET	EX	_	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	_	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	_	4	det	_	DT|?|?
4	woman	woman	NOUN	NN	_	2	nsubj	_	NN|10787470-n|Woman=
5	stroking	stroke	VERB	VBG	_	4	partmod	_	VBG|00880658-v|SocialInteraction+
6	a	a	DET	DT	_	7	det	_	DT|?|?
7	lemur	lemur	NOUN	NN	_	5	dobj	_	NN|02496913-n|Primate+
8	.	.	.	.	_	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	_	2	det	_	DT|?|?
2	woman	woman	NOUN	NN	_	4	nsubj	_	NN|10787470-n|Woman=
3	is	be	VERB	VBZ	_	4	aux	_	VBZ|02604760-v|Entity+
4	stroking	stroke	VERB	VBG	_	0	ROOT	_	VBG|00880658-v|SocialInteraction+
5	a	a	DET	DT	_	6	det	_	DT|?|?
6	lemur	lemur	NOUN	NN	_	4	dobj	_	NN|02496913-n|Primate+
7	.	.	.	.	_	4	punct	_	Fp|?|?
