sentence A = One man is doing a bicycle trick in midair.
sentence B = A man is failing to perform a bicycle trick in midair.
entailm AB = A_neutral_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Hominid=,Entity+,IntentionalProcess+,Bicycle=,RecreationOrExercise+,Region+
CONCEPTS B: Hominid=,Entity+,NormativeAttribute+,IntentionalProcess+,Bicycle=,RecreationOrExercise+,Region+

CONLL A:

1	One	1	NUM	CD	_	2	num	_	Z|?|?
2	man	man	NOUN	NN	_	4	nsubj	_	NN|02472293-n|Hominid=
3	is	be	VERB	VBZ	_	4	aux	_	VBZ|02604760-v|Entity+
4	doing	do	VERB	VBG	_	0	ROOT	_	VBG|01712704-v|IntentionalProcess+
5	a	a	DET	DT	_	7	det	_	DT|?|?
6	bicycle	bicycle	NOUN	NN	_	7	nn	_	NN|02834778-n|Bicycle=
7	trick	trick	NOUN	NN	_	4	dobj	_	NN|00427580-n|RecreationOrExercise+
8	in	in	ADP	IN	_	4	prep	_	IN|?|?
9	midair	midair	NOUN	NN	_	8	pobj	_	NN|08600147-n|Region+
10	.	.	.	.	_	4	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	_	2	det	_	DT|?|?
2	man	man	NOUN	NN	_	4	nsubj	_	NN|02472293-n|Hominid=
3	is	be	VERB	VBZ	_	4	aux	_	VBZ|02604760-v|Entity+
4	failing	fail	VERB	VBG	_	0	ROOT	_	VBG|02523521-v|NormativeAttribute+
5	to	to	PRT	TO	_	6	aux	_	TO|?|?
6	perform	perform	VERB	VB	_	4	xcomp	_	VB|01712704-v|IntentionalProcess+
7	a	a	DET	DT	_	9	det	_	DT|?|?
8	bicycle	bicycle	NOUN	NN	_	9	nn	_	NN|02834778-n|Bicycle=
9	trick	trick	NOUN	NN	_	6	dobj	_	NN|00427580-n|RecreationOrExercise+
10	in	in	ADP	IN	_	6	prep	_	IN|?|?
11	midair	midair	NOUN	NN	_	10	pobj	_	NN|08600147-n|Region+
12	.	.	.	.	_	4	punct	_	Fp|?|?
