original	corrected	mistake
A animal is grazing in a field	 An animal is grazing in a field	a-> an
A black animal is approaching a golden dog on pebbly beach	 A black animal is approaching a golden dog on a  pebbly beach	missing a
A black dog is approaching a golden dog on pebbly beach	A black dog is approaching a golden dog on a pebbly beach	missing a
A black dog is jumping from n hay ball to another hay ball	A black dog is jumping from a hay ball to another hay ball	n-> a
A blonds girl is surfing	 A blonde girl is surfing	s-> e
A boy in blue are sliding down a green slide	A boy in blue is sliding down a green slide	number
A boy in blue shirt is looking at his hand near a stack of blocks on table	A boy in a blue shirt is looking at his hand near a stack of blocks on a table	missing a
A boy is wearing all black and is sliding down a blow up slide	A boy is wearing all black and is sliding down a blow-up slide	blow-up hyfen
A boy is wearing all black and is sliding down a blow up yellow slide	A boy is wearing all black and is sliding down a blow-up yellow slide	blow-up hyfen
A cyclist is biking in a snowy forest at day	A cyclist is biking in a snowy forest during the day	at day?
A daughter is being pushed by her father on a go-kart and another girl is watching		go-kart?
A dog is jumping on a trees in the shades	A dog is jumping on a tree in the shade	a tree
A father is pulling his daughter on a go-kart and another girl is looking away		go-kart?
A father is pushing his daughter on a go-kart and another girl is watching		go-kart?
A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair	A girl in a blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair	missing a
A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a woman with grey hair	A girl in a blue sweater is holding a multicolor toy and is sitting on the shoulders of a woman with grey hair	missing a
A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of an old man with grey hair	A girl in a blue sweater is holding a multicolor toy and is sitting on the shoulders of an old man with grey hair	missing a
A girl is pushing a go-kart and a daughter is watching her father		go-kart?
A girl is wearing all black and is sliding down a blow up yellow slide	A girl is wearing all black and is sliding down a blow-up yellow slide	blow-up hifen
A hole is being burrowed by the badger		burrowed?
A hurdle is being leapt by a horse that has a rider on its back		leaped?
A large dog and a small dog is standing on the kitchen counter and investigate	A large dog and a small dog are standing on the kitchen counter and investigating	number
A man in a elegant dress is being surrounded by photographers	A man in an elegant dress is being surrounded by photographers	a-> an
A man in blue is riding a animal on a dirt road	A man in blue is riding an animal on a dirt road	a-> an
A man is drawing on a digital dry erase board		dry-erase?
A man is not drawing on a digital dry erase board		dry-erase?
A man is packing away the guitar		
A man is sitting on a boat in font of the sunset, near a flag	A man is sitting on a boat in front of the sunset, near a flag	front
A nearby throng of people are kissing two by two		
A person is jotting something with a pencil		
A piece of bread, which is big, is having butter spread upon it by a man OR A piece of bread, which is big, is being spread with butter by a man	A piece of bread, which is big, is being spread with butter by a man	only one side 
A policeman is getting off of a motorcycle		
A prey is quickly running behind the cheetah		
A topless woman is being smeared with a brown substance and a blurry crowd is in the background		
A topless woman is being smeared with brown substance and a nobody is in the background	A topless woman is being smeared with a brown substance and there is nobody in the background	without a
A white dog is approaching a golden dog on pebbly beach	A white dog is approaching a golden dog on a  pebbly beach	missing a
A woman in blue shirt is looking at her hand near a stack of blocks on table	 A woman in a blue shirt is looking at her hand near a stack of blocks on a table	missing a
A woman is being smeared with brown substance and a blurry crowd is in the background		
A woman is penciling on eyeshadow	A woman is penciling on her eyeshadow	
A woman is using a pencil for eyes and is applying eye liner to her eyelid	A woman is using a pencil for eyes and is applying eyeliner to her eyelid	eyeliner
A woman is using an eye pencil and is applying eye liner to her eyelid	 A woman is using an eye pencil and is applying eyeliner to her eyelid	eyeliner
A woman is wearing paint and costume pieces and is riding a bike on a empty street	A woman is wearing paint and costume pieces and is riding a bike on an empty street	a-> an
A yellow flower is being clung to by a bee		
A young girl in swimming suite is jumping on the beach	A young girl in a swimming suit is jumping on the beach	missing a
An woman that is old is shaking hands with a man		
Broccoli are being cut by a woman	 Broccoli is being cut by a woman	number
Four dogs are playing in a area covered by grass	Four dogs are playing in an area covered by grass	a-> an
People are clustered around a bonfire at morning	 People are clustered around a bonfire in the morning	prep at
Some people and vehicles are on a almost empty street	Some people and vehicles are on an almost empty street	a-> an
The ball is being dunked by a man with a jersey at a basketball game		
The boy in a blue shirt is looking at his hand near the stack of blocks on a  table	 The boy in a blue shirt is looking at his hand near the stack of blocks on a  table	missing a
The girl has red hair and eyebrows, several piercings in a ear and a drawing on the back	The girl has red hair and eyebrows, several piercings in an ear and a drawing on the back	a-> an
The girl has red hair and eyebrows, several piercings in a ear and a tattoo on the back	The girl has red hair and eyebrows, several piercings in an ear and a tattoo on the back	a-> an
The girl has red hair and eyebrows, several piercings in a ear and no tattoo on the back	The girl has red hair and eyebrows, several piercings in an ear and no tattoo on the back	a-> an
The lady is penciling on eyeshadow		
The man is cooking slices of potato	 The man is cooking slices of potatoes	
The man is not adding seasoning to the/some water in a bowl	The man is not adding seasoning to the water in a bowl	
The orange colored dices are being cast by a cook to win the pepper		
The players is maneuvering for the ball	The player is maneuvering for the ball	number
The players is maneuvering for the basket ball	 The player is maneuvering for the basket ball	number
The player is maneuvering for the soccer ball	The player is maneuvering for the soccer bal	number
The tail of an animal is being chasing by a dog in the grass	 The tail of an animal is being chased by a dog in the grass	
The woman is not penciling on eyeshadow		
The woman is penciling on eyeshadow		
There is no man is pushing the buttons of a microwave	 There is no man  pushing the buttons of a microwave	remove is
There is no white and brown dog pacing with through the water difficulty	 There is no white and brown dog pacing  through the water difficulty	remove with
Three small cats is sniffing at something	 Three small cats are sniffing at something	number
Two boy are playing on a trampoline	Two boys are playing on a trampoline	number
Two girl with dogs are walking on a forest path	Two girls with dogs are walking on a forest pat	number
Two men and a girl in behind of a wood panel wall are posing with funny faces	Two men and a girl  behind  a wood panel wall are posing with funny faces	prep in
Two men are looking out and one is holding a spyglass		
Two young girl are looking up at the camera and one is sticking out his tongue	Two young girls are looking up at the camera and one is sticking out her tongue	her+number
